 	stava	ancora	cucinando	</S>
ì	0.24915425	0.25051272	0.25020805	0.25012502
s	0.24122456	0.25960183	0.24491563	0.25425807
t	0.24567266	0.24947329	0.24912561	0.25572845
i	0.24957941	0.24984555	0.25033078	0.25024426
g	0.20842622	0.31710118	0.22545035	0.24902226
g	0.20562114	0.22776376	0.21257177	0.35404328
h	0.13267873	0.14451419	0.13557096	0.5872361
e	0.16259058	0.17151931	0.1699746	0.4959155
a	0.06576469	0.24526846	0.15535855	0.5336083
n	0.020828746	0.28904662	0.11297378	0.5771509
k	0.05539332	0.23261595	0.10020798	0.6117827
ò	0.12449654	0.27725887	0.16207346	0.4361711
r	0.0718094	0.091240175	0.18535616	0.6515943
a	0.01934418	0.07339567	0.08684832	0.82041186
m	0.018495226	0.0052127913	0.03134746	0.9449445
a	0.006966127	0.13272765	0.4252401	0.43506607
r	0.012324829	0.003910155	0.05936483	0.92440015
è	0.0017206034	0.18164356	0.27901486	0.53762096
o	0.06542764	0.0028424344	0.16332705	0.7684029
n	0.0086014075	0.0026271404	0.45009083	0.5386806
t	0.0014043541	0.03929768	0.7857047	0.1735933
a	0.007091256	0.019834472	0.5394365	0.4336377
</S>	0.08240304	0.00971097	0.52871954	0.37916642
