 	la	casa	la	costruisce	il	mastro	</S>
o	0.14283317	0.1428457	0.14284058	0.14288178	0.14292093	0.14283992	0.14283797
s	0.14145416	0.14173211	0.14155608	0.14288504	0.1444638	0.14265281	0.14525601
p	0.1388618	0.13979352	0.1399016	0.1441548	0.1482907	0.14034954	0.14864807
ì	0.11526338	0.115360856	0.11554231	0.12005666	0.121327825	0.11923694	0.29321203
t	0.13053454	0.13058525	0.13055697	0.13142462	0.1323762	0.1313289	0.21319354
i	0.122518085	0.12757792	0.1673658	0.1301019	0.12741207	0.1547524	0.17027181
o	0.12364889	0.1238996	0.12368757	0.12620245	0.1315004	0.12778081	0.24328035
f	0.09204807	0.1260403	0.093462825	0.16106895	0.2322573	0.08997796	0.20514454
a	0.100988194	0.12860166	0.105481885	0.17785533	0.2421219	0.10744431	0.13750674
b	0.05131516	0.06764871	0.076831445	0.22363843	0.2941056	0.08199789	0.2044628
b	0.052331038	0.08027525	0.0819449	0.20435622	0.27003387	0.0892316	0.22182709
r	0.04209048	0.044153906	0.049884774	0.16237102	0.23427819	0.2051734	0.26204824
i	0.097294934	0.097456604	0.09740078	0.10549927	0.11047062	0.1036508	0.38822702
k	0.07623069	0.07717365	0.08259896	0.18937103	0.12620857	0.105680905	0.34273612
è	0.036004674	0.040909916	0.0415813	0.0806269	0.1006587	0.085136496	0.615082
i	0.022200866	0.022510184	0.02293088	0.054619778	0.0387176	0.031333327	0.8076873
o	0.012113357	0.024603711	0.02212593	0.05189685	0.12958235	0.09264744	0.66703033
m	0.010892681	0.027530992	0.032054972	0.023281828	0.058908388	0.40774772	0.43958345
à	0.043928027	0.103276744	0.11052756	0.0499707	0.0887324	0.2936984	0.30986613
s	0.0065317266	0.009363696	0.016721118	0.089147165	0.4939228	0.13666636	0.24764712
c	0.005216007	0.008601942	0.011433465	0.084738985	0.30701673	0.28974622	0.29324666
i	0.006715009	0.0072945147	0.009373187	0.021285584	0.016539726	0.07781751	0.8609745
a	0.0016758147	0.0021234984	0.0018038333	0.010699154	0.011458648	0.25577286	0.7164662
</S>	0.00038198274	0.00078377506	0.0011967595	0.002880757	0.0054750512	0.55410874	0.43517295
