 	dei	genitori	</S>
à	0.30964708	0.32331842	0.36703447
t	0.32969147	0.32496613	0.3453424
t	0.26693928	0.27407798	0.45898274
u	0.3162406	0.32273462	0.3610248
s	0.20524043	0.37480307	0.41995654
g	0.16203421	0.09781926	0.7401466
e	0.1484323	0.19102845	0.66053927
n	0.08564499	0.70139784	0.21295716
i	0.12264342	0.22653	0.6508266
t	0.025995603	0.5738739	0.40013054
ò	0.038893215	0.28682327	0.67428356
r	0.024979828	0.5450356	0.42998457
u	0.08273445	0.47608975	0.44117582
</S>	0.043659765	0.41019365	0.5461466
