 	ho	rotto	una	bottiglia	</S>
è	0.19785723	0.19813292	0.19859754	0.20355672	0.20185554
g	0.19963214	0.19966535	0.20021206	0.20019649	0.20029396
l	0.19910908	0.19922107	0.19946122	0.1998832	0.20232546
a	0.19928697	0.19938187	0.1998674	0.20079651	0.20066726
s	0.18916541	0.18932784	0.19467093	0.19479604	0.23203976
a	0.05124802	0.13285619	0.19754599	0.35027844	0.26807138
m	0.13896808	0.14071618	0.17867476	0.17426684	0.36737418
i	0.056467574	0.065374315	0.106677964	0.60043865	0.17104152
a	0.06880776	0.07281673	0.16297202	0.1709284	0.5244751
b	0.025212234	0.069036864	0.19004105	0.57891726	0.13679256
u	0.029437805	0.04518836	0.07797152	0.54289	0.30451232
t	0.0046794955	0.0069078007	0.053205706	0.072718255	0.86248875
t	0.0020918734	0.013174349	0.15195246	0.52944446	0.30333683
ì	0.0052784565	0.011436565	0.08181521	0.76876974	0.13270006
g	0.019386763	0.009780563	0.032076474	0.058579724	0.8801765
l	0.0041033383	0.019448878	0.07328686	0.64843744	0.25472355
i	0.0030898086	0.0053925724	0.030297998	0.25702274	0.7041969
a	0.00059766613	0.0006575197	0.030255618	0.42270008	0.54578906
</S>	0.00037474223	0.0010463616	0.0117666805	0.08348907	0.9033231
