 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.1504698465	0.12184191	0.527448665	0.198690435	0.000771782965	0.000777355773
a31	0.0580589638333	0.06740412	0.454794701667	0.401921748333	0.0164792351983	0.001341251873
a24	0.0243395229444	0.040991781	0.227726890556	0.655621036111	0.0482079837328	0.00311282682433
a37	0.0146881446481	0.0488614446667	0.213280900185	0.603130048704	0.109244381244	0.0107951305081
a14	0.011314157416	0.0531500252222	0.190280943395	0.541624956235	0.176647683748	0.0269822891694
a29	0.005859867672	0.0396500520741	0.141020877798	0.544551332078	0.232184584583	0.0367333230565
a0	0.00814266139067	0.0490326240247	0.124647609266	0.469156600693	0.286548014861	0.0624725000188
a29	0.0161837876302	0.0663166980082	0.112150785089	0.383591700231	0.31466658162	0.107090440006
a20	0.0268811228767	0.0766455393361	0.0997554270297	0.333513520077	0.322527287207	0.140677130002
a31	0.0328642752922	0.079148133112	0.0880464090099	0.297104533359	0.304314155736	0.198522536667
a24	0.0796423360974	0.101214481037	0.08736691967	0.230066194453	0.234805555245	0.266904518889
a46	0.152354875366	0.136795600346	0.0937198982233	0.158729818151	0.163908905082	0.29449087963
a31	0.148380123455	0.164753200115	0.0994608694078	0.14369270605	0.137041625027	0.30667145321
a0	0.193553626152	0.204488006705	0.110380101469	0.12116854535	0.104173866009	0.266235844403
a20	0.294738775384	0.235018442235	0.116544643823	0.0847479451167	0.0699673346697	0.198982848134
a31	0.260270615128	0.258629824078	0.149100451274	0.0872393683722	0.0590856115566	0.185674142711
a46	0.246207968376	0.282899678026	0.180585637091	0.0876598177907	0.0461873901855	0.156459520904
</S>	0.292897844188	0.290508779013	0.180697328545	0.0765447863954	0.0361717670927	0.123179480452
