 	voglio	che	Maria	è	di	venire	domani	</S>
a8	0.0423335365	0.0465929305	0.0322985155	0.238929315	0.57757275	0.045956926	0.006196728	0.01011934575
a20	0.0198334171667	0.0248097426667	0.0309537431667	0.406162488333	0.380488316667	0.0506843593333	0.00700977253333	0.0800581875833
a8	0.0117952714656	0.0119624444222	0.0193397000556	0.412087309444	0.243011512222	0.0783914171111	0.0109818653778	0.212430469194
a20	0.00413091234187	0.0048208694074	0.0125314086852	0.418682203148	0.207262970741	0.143217299037	0.0195116394593	0.189842688398
a31	0.00198371312396	0.00473286036913	0.0241221212284	0.447515754383	0.252334436914	0.175071763012	0.0229135741531	0.0713257977993
a28	0.00174609270799	0.00814172545638	0.0342677137428	0.327457474794	0.243340378971	0.284348717671	0.0671542847177	0.0335436455998
a31	0.002424355336	0.0110717171521	0.0484624159143	0.202091138265	0.186974999657	0.400430149224	0.123766864906	0.0247783785333
a18	0.006429322112	0.0183904130507	0.0593450146381	0.137922142755	0.153052519886	0.389514786408	0.180444081635	0.0549017195111
a31	0.0124629050373	0.0244547526836	0.0601732422127	0.0942321542517	0.110267533295	0.318064535469	0.288550860545	0.091793981837
a3	0.0239621240124	0.0301093002279	0.0665352637376	0.0755676514172	0.0919947944317	0.24875521849	0.320318873515	0.142756729279
a31	0.0445021713375	0.0430949387426	0.0812460729125	0.0725997138057	0.0871930248106	0.19899748283	0.302589814505	0.169776743093
a18	0.0516086927792	0.0514277622475	0.0909913289708	0.0809972479352	0.0922830669369	0.173742990943	0.282219098168	0.176729767698
a31	0.0667810799264	0.0607517804158	0.0983819243236	0.0793810659784	0.0916369976456	0.160900700314	0.266028702723	0.176137705899
a17	0.0845132599755	0.0718493614719	0.102561178108	0.0778031536595	0.0887575345485	0.144168286771	0.250336557574	0.180010651966
a20	0.123165473325	0.089631773824	0.0944385793693	0.0795661562198	0.0838957835162	0.130959512257	0.190468499191	0.207874233989
a31	0.187565651108	0.109532931275	0.13103210979	0.0593712897399	0.0722923905054	0.114268127419	0.157962356397	0.167975169996
a20	0.249270720369	0.145062837092	0.160333713263	0.04968840658	0.0656943505018	0.095775362473	0.121363041466	0.112811596665
a31	0.271492510123	0.166708192364	0.180200154421	0.04683025786	0.0614993891673	0.081472397491	0.102665219822	0.089131853555
a20	0.283989473374	0.178062384121	0.189614884807	0.0458693172867	0.0605519177224	0.0736102458303	0.0919499866073	0.0763517278517
a46	0.324667241125	0.20175604804	0.158423908269	0.0538484194289	0.0595072092408	0.0647675299434	0.0686273422024	0.0684022826172
a31	0.319126647042	0.192304899347	0.16964893609	0.0456345124763	0.0539759377469	0.0704736079811	0.0755866420675	0.0732488342057
a46	0.319387642347	0.197603943116	0.178441315363	0.0393058318254	0.0484998739156	0.0700056899937	0.0759342706892	0.0708214447352
a8	0.332297307449	0.219093294372	0.158154961788	0.0442193236085	0.0466491203052	0.0642234089979	0.0680618955631	0.0673006915784
a39	0.320610362483	0.216415794791	0.145004623929	0.0431106018695	0.0434686224351	0.0659531879993	0.078115988521	0.0873208271928
a31	0.299753120828	0.203203728264	0.13173721331	0.0367723722898	0.0369836748117	0.0730265793331	0.10210838284	0.116414959064
</S>	0.285371360414	0.195804844132	0.127245919655	0.0340617561449	0.0344616184058	0.0790752546665	0.11657957642	0.127399709532
