 	io	voglio	che	Maria	venga	qui	</S>
a31	0.02149180715	0.01108656875	0.0221724097	0.131661432	0.2455577756	0.3873448	0.1806851625
a39	0.02900698715	0.00965202108333	0.0258068182333	0.185928720667	0.294477268533	0.366107453333	0.0890207068333
a31	0.05082499405	0.0144573400278	0.0346355717444	0.277876823556	0.248125876178	0.329366164444	0.0447132774444
a37	0.0756500616833	0.0213018640093	0.105456227248	0.414313107852	0.221264670393	0.141343134481	0.0206710186481
a31	0.0772781045611	0.0214220053364	0.178679105749	0.405913085951	0.214060898464	0.0828083011603	0.0198385605494
a11	0.0507995368537	0.0165003521121	0.244098448583	0.34752984865	0.265941222821	0.0569229850534	0.0182076397831
a20	0.0324573046179	0.012219362704	0.256315726194	0.29410034955	0.340646264274	0.0496284663511	0.0146325465277
a4	0.024969525206	0.015783672568	0.185214668731	0.24417711985	0.413605128091	0.094736622117	0.0215132618426
a24	0.0451060497353	0.062470080856	0.131207489577	0.229461053283	0.368233449364	0.132569090706	0.0309527676142
a31	0.0756666765784	0.107194060285	0.108857599859	0.213547141094	0.304328613121	0.150080393569	0.0403254975381
a11	0.0953351355261	0.126580223428	0.109871163286	0.206298303698	0.26733899104	0.15246723119	0.0421089361794
a24	0.121738915175	0.158389751143	0.118965427762	0.202115744566	0.223276600347	0.13672286373	0.0387906707265
a31	0.128732958392	0.162413133714	0.110384439254	0.187613094855	0.218547640116	0.15113227791	0.0411764182422
a46	0.118773138131	0.143360344571	0.107793666418	0.187246048285	0.221802823372	0.169961592637	0.0510623660807
a8	0.136568308044	0.140104324857	0.127065078806	0.184945799428	0.193467304457	0.158377157546	0.0594720340269
</S>	0.153606934022	0.144620777428	0.133688769403	0.175878654714	0.177899582228	0.151658418773	0.0626468820135
