 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
a20	0.0447152986	0.01229813025	0.02549656155	0.003823161425	0.64874535	0.035973473	0.0264966323	0.2024513282
a0	0.01603194149	0.00472350153	0.00905530501333	0.00433271520833	0.553627341333	0.328734375	0.0132823831	0.0702123905333
a28	0.00570976272667	0.00181681622333	0.00316470510111	0.00422044356944	0.206989771111	0.740190541667	0.0114756648333	0.0264322687111
a31	0.00216040159222	0.00121676677444	0.00184901040037	0.00730412042315	0.11362158637	0.850847363889	0.0127168866111	0.0102838647037
a24	0.00103147550741	0.00112323239148	0.00164642263346	0.00976338414105	0.08655159879	0.842334041296	0.0523463552037	0.00520350330123
a46	0.0011869556358	0.00138003533049	0.00236598064449	0.0167169353804	0.0602035372633	0.751820050432	0.157754051735	0.00857246523374
a31	0.00183568674527	0.00207057431016	0.0055374818815	0.0331175081268	0.0564254624211	0.559309143477	0.321774077245	0.0199300797446
a24	0.00268209984842	0.00284681230339	0.0098300509605	0.0462061827089	0.0442388724737	0.367843984492	0.442683792415	0.0836681932482
a31	0.00503410284947	0.00387414793446	0.0119741519868	0.0460615842363	0.0411815678246	0.271569088164	0.453475287472	0.166830064416
a20	0.00735693994982	0.00506940194482	0.0157994433289	0.0479125770788	0.0397448382749	0.199187186055	0.423099009157	0.261830608139
a29	0.00952364398327	0.00851559844827	0.0264687411096	0.0549257800263	0.0366090587583	0.159665398685	0.385553069719	0.318738686046
a20	0.0156739286611	0.0144776291494	0.0344012857032	0.0566348143421	0.0448084889194	0.176015549562	0.35265089324	0.305337378682
a29	0.0228434152204	0.0205602957165	0.0363495009011	0.055619996114	0.0490141243065	0.193590979854	0.330672784413	0.291348892894
a13	0.0281926134068	0.0259418205722	0.0377860593004	0.0539196277047	0.0499450154355	0.211096893285	0.319212708138	0.273905264298
a17	0.0361632854689	0.0318435168574	0.0394672964335	0.0531308192349	0.0505376818118	0.206037471095	0.314724689379	0.268095241433
a31	0.0581715644896	0.0421215049525	0.0406671408112	0.054805087745	0.0439360056039	0.197270567032	0.30395490646	0.259073223811
a44	0.0721295648299	0.0537154483175	0.0574342022704	0.067600373915	0.050519190868	0.159340392344	0.27999766882	0.259263164604
a8	0.0651242582766	0.0574786574392	0.0809440307568	0.0837254626383	0.068351616956	0.107798454115	0.262973869607	0.273603638201
a6	0.0805870360922	0.0711098704797	0.0839381202523	0.0806119755461	0.0653547529853	0.0908721180383	0.257442913202	0.270083196067
</S>	0.100296328046	0.0857421652398	0.0801010201262	0.0723408327731	0.0579761374927	0.0874475140192	0.254584956601	0.261511048034
