 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
a31	0.0053280885	0.028892818	0.0438054045	0.0294030565	0.101371855	0.069883411	0.0908628405	0.220466975	0.22288728	0.057501842	0.0169743435	0.0759896685	0.03053919235	0.0060932265
a23	0.00642823583333	0.0308779063333	0.0986045048333	0.2103113455	0.083928555	0.0338161063333	0.0617946007867	0.143327599333	0.135810399133	0.0405656886667	0.0127877551667	0.0896353581667	0.0354135607833	0.0166984005
a31	0.00530967864444	0.0140625403111	0.0985768716111	0.3128210785	0.201082865	0.0243158487778	0.0301041955489	0.0667844884443	0.0536600721777	0.0527417975556	0.0319339650556	0.0661227570556	0.0245075995944	0.0179762391
a7	0.00523834458148	0.0190551903037	0.0775833238704	0.193070614833	0.211375929333	0.0211172702593	0.0199801966163	0.0403707138148	0.0263441072926	0.0980505391852	0.0658031150185	0.136512761352	0.0618187365315	0.0236791329667
a10	0.00973705252716	0.0319764157679	0.0823198999568	0.106242013611	0.0838235657777	0.00984382061977	0.0084004648721	0.0205351376049	0.0135935623309	0.128947709728	0.0849815983395	0.220796900451	0.143128408844	0.0556734509889
a38	0.00992382897572	0.0274155735893	0.0584785036523	0.0497871408703	0.0330183750259	0.00566168190659	0.00562579602403	0.016002327535	0.0121452154436	0.135519013243	0.0881839977798	0.25094408015	0.235357779615	0.0719367003296
a10	0.0178707907919	0.0546711695298	0.124650126217	0.0340041099568	0.015742232942	0.0102741224689	0.0150035921747	0.0491856011783	0.0371753964812	0.106170595081	0.0638203132599	0.201973436717	0.220049304872	0.0494091977765
a11	0.0387338285973	0.0847495265099	0.172455862072	0.0309825513189	0.009829618314	0.0169116481563	0.0306257240582	0.0759127737261	0.0593075748271	0.0844687556937	0.0541319500866	0.156004262239	0.151854089957	0.0340317869255
a31	0.0683080788658	0.09847859217	0.197931860691	0.112316635106	0.0152677726047	0.0221967273854	0.0293843150194	0.055890690242	0.0437674032757	0.0603523288979	0.0455111940289	0.12178228108	0.102396865986	0.0264152012752
a13	0.0917695882886	0.12145468739	0.224379876897	0.154193485702	0.0230159205349	0.0373135397951	0.0232346013398	0.059471690414	0.0417354800919	0.0340462352993	0.0220214896763	0.06835982736	0.0714519013287	0.0275516673917
a31	0.101853402763	0.118054820797	0.192885918966	0.165205142567	0.048115650845	0.0525925099317	0.0231997834466	0.0674601438047	0.0445969006973	0.0257350150998	0.0145509730588	0.0520312397867	0.0650435994429	0.0286749181972
a0	0.100920267588	0.115773078599	0.178734182989	0.183231440856	0.0619277782817	0.0612518599772	0.0225146624822	0.0805957569349	0.0523537075658	0.0149747650333	0.00836213818627	0.0299820485956	0.0448198821476	0.0445584437991
a31	0.0808645865293	0.097934884533	0.13877073433	0.146678330285	0.0895949440939	0.0883256799924	0.0275498084941	0.111634005645	0.0747582141886	0.0117110456778	0.00594403906209	0.0239928461985	0.0429898490492	0.0592510505997
a39	0.0752908328431	0.0906311378443	0.12003073811	0.136879020095	0.0994019460313	0.0943685666641	0.027894323498	0.122083135215	0.0847845597295	0.00827311455927	0.00428452045403	0.0184290057328	0.0369399046831	0.0807091895332
a31	0.0674441036144	0.0868559239481	0.106672706037	0.110694602032	0.0909904466771	0.097564278888	0.0308013904993	0.136409505072	0.103695263243	0.00743715651976	0.00345777068468	0.0175558349109	0.035124781561	0.105296243178
a17	0.0687956372048	0.0981411746494	0.108040648679	0.096444309344	0.0814564088924	0.091972754296	0.0299494898331	0.135473798357	0.107765829081	0.00654337940659	0.00291218176156	0.016481106637	0.0329667178537	0.123056581059
a20	0.0915525724016	0.119450794883	0.110198296226	0.0754286157813	0.0402995242975	0.0631233360987	0.0234480762777	0.126149986119	0.10935309436	0.00643618803553	0.00300247315385	0.027927285879	0.0509899466179	0.15263980702
a21	0.108129674134	0.103043731628	0.0838288520753	0.0446974682604	0.0226015904325	0.0540891520329	0.0260825294259	0.128414398706	0.119416004787	0.0119818070118	0.00678288951795	0.0529640106263	0.0881869688726	0.14978094234
a31	0.101496792711	0.0985363105427	0.0938141540251	0.0597280414201	0.0367836178108	0.0627348073443	0.026998482142	0.130129389569	0.110477081596	0.0130804770039	0.00742468717265	0.0475475957088	0.0804578729575	0.130790727447
a18	0.10526592557	0.0986366201809	0.098215444675	0.0667526914734	0.0437681149369	0.0692467917814	0.025770597714	0.130562931523	0.105489343865	0.0119368350013	0.00646452105755	0.0378736367363	0.0718944043192	0.128122185816
a46	0.12708015519	0.090388396727	0.0742806195583	0.0388301278245	0.023216048979	0.0565179152605	0.0303333305713	0.125030855508	0.112017147955	0.0166418636671	0.0109301743525	0.0615324435788	0.0975844714397	0.135616465272
a31	0.10592439573	0.0841921322423	0.0802249478528	0.0517684039415	0.0414353366597	0.0677159370868	0.0331945048571	0.129442965169	0.112525902652	0.0164963552224	0.0106979653175	0.0578616368596	0.0854163588132	0.123103148424
a38	0.111429729243	0.0894825020808	0.0866420426176	0.0564991769805	0.0473386485532	0.0702360090289	0.028905988619	0.131838621723	0.107700297551	0.0155329097408	0.00897355430583	0.0417329479532	0.0750741179377	0.128613456141
a3	0.132612739748	0.0852896873603	0.0671990275392	0.0343201873268	0.0282890898511	0.061028131343	0.037682740873	0.123856563908	0.11130580585	0.0221047389136	0.0158671427686	0.0596823573177	0.0906813459792	0.130080422047
a21	0.121607864583	0.0728337744534	0.0540637835131	0.0285559807756	0.0264854339504	0.0638760094477	0.052641663291	0.117677287969	0.117287595283	0.0272812546379	0.0232561582562	0.0837817971059	0.0965287273264	0.114122644016
a8	0.127494352861	0.0790944514845	0.0557856655044	0.0240095225919	0.0182273271501	0.0508200441492	0.0568673264303	0.105907599323	0.110223021761	0.034813934546	0.0325823137521	0.105097259035	0.100416027775	0.098661144672
