 	non	aveva	dove	aveva	per	stare	</S>
a7	0.0739504785	0.1330165713	0.0756963849	0.173593754	0.242784665	0.2954862225	0.00547194515
a31	0.0819176505	0.1977394771	0.137194091633	0.269285728	0.164929231667	0.144404519167	0.00452930748333
a29	0.0465476621667	0.151298352367	0.137879913878	0.227505452667	0.304399243889	0.128605449722	0.00376392792778
a19	0.0736063950556	0.164729010789	0.147105501293	0.171277604222	0.32906512463	0.111555033241	0.00266135134259
a46	0.101244716685	0.210972083596	0.209334760431	0.190484204741	0.214337374877	0.0686672784137	0.00495957038086
a31	0.0862124805617	0.169747636532	0.19814058681	0.197621114914	0.168527349959	0.0586317281379	0.121119071794
a38	0.105337823521	0.152473244177	0.14456584227	0.154103314971	0.127309514986	0.058917574046	0.257292653931
a31	0.117421481174	0.165332011392	0.123950190757	0.114641911657	0.0905370249953	0.052164278682	0.335953084644
a20	0.174352633725	0.185127413797	0.118747800252	0.0940857105523	0.0601109769984	0.0406805822273	0.326894868215
a31	0.198433699908	0.233145074599	0.145635693417	0.0963938868508	0.0434506593328	0.0363039550758	0.246637026072
a0	0.185724385303	0.276571184866	0.178596507806	0.107367215617	0.0311983591109	0.0293571580253	0.191185183357
a31	0.177386526434	0.297222778289	0.202579635935	0.120651975206	0.0226391107036	0.0254546676751	0.154065289119
a46	0.173292443478	0.298906976096	0.214985371978	0.128337387069	0.0196563652345	0.0246257475584	0.14019569104
a18	0.262252847826	0.284395542032	0.192871017326	0.106334064356	0.0174755780782	0.0269163448528	0.109754600013
</S>	0.315719283913	0.276120646016	0.174681023663	0.091608437178	0.0175878410391	0.0275704699264	0.0967123175065
