 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
a31	0.0110244459	0.0139321614	0.0055846028	0.05771514625	0.3155598	0.528756075	0.0012577497	0.066170005
a23	0.00390704834667	0.00541519055	0.0117946112667	0.359936424083	0.291586888667	0.284761401667	0.00117592114667	0.041422533
a20	0.00138551328202	0.00190168233433	0.0452598380889	0.663352691361	0.160841431556	0.105685326222	0.000443531000223	0.0211300065333
a28	0.000492885013807	0.00078699322911	0.0695761116963	0.514322480454	0.316186743852	0.0897748544073	0.000279754871408	0.00858014984443
a31	0.000515440204602	0.000567577093037	0.0689247428988	0.311271243485	0.511214214617	0.102991666469	0.000356207657136	0.00415887544814
a17	0.00126222063487	0.00264396536435	0.0642970562996	0.227971559162	0.534485138206	0.16057229049	0.00237794685238	0.00638980001605
a31	0.00189589181162	0.00374014845478	0.0515654157665	0.142329541054	0.595280102735	0.194774253497	0.00310440801746	0.00731019240535
a19	0.00306299930387	0.00503610671826	0.0467062392555	0.104442869018	0.573050040912	0.201525457832	0.0180544881725	0.0481217490351
a31	0.00474888096796	0.00645299363942	0.0497109374185	0.089045545006	0.537014196971	0.226618972611	0.0234753214908	0.062933132845
a20	0.00472917452265	0.00537491174647	0.0505404324728	0.0904815783353	0.556957092324	0.22300133087	0.0134260262636	0.0554894874483
a31	0.0152226851742	0.0104579613822	0.129877472158	0.169910189445	0.448054867441	0.164079985623	0.00943323130653	0.0529636394828
a20	0.0215891170581	0.0157163331274	0.181933840719	0.238448776482	0.354155079147	0.0986989722077	0.00621550032084	0.0832423668276
a31	0.038118959686	0.0275369907091	0.203588663573	0.248250318827	0.303464766382	0.0763823357359	0.00516116674028	0.0974967762759
a20	0.0493268852287	0.0390528452364	0.211245022524	0.239559522942	0.235189385461	0.0506475585786	0.00503413688009	0.169944602759
a24	0.0411715937429	0.0494053650788	0.141683258841	0.189047587647	0.18361743182	0.0647166395262	0.00973330196003	0.320624814253
a31	0.0394685912476	0.0496177663596	0.097830878947	0.129431209216	0.280218000607	0.108040023175	0.00972857265334	0.285664988084
a38	0.0301938340825	0.0361680417865	0.0771424169823	0.102443099739	0.332351490202	0.143048731058	0.0145474288844	0.264104962695
a31	0.0312918593608	0.0375402389288	0.0616372803274	0.0791234572463	0.278942146734	0.133989363686	0.0211092579615	0.356366397565
a28	0.0988110641203	0.11337252631	0.0623344934425	0.0578900397488	0.213223808911	0.090151282562	0.0157501343205	0.348466635855
a20	0.188101741373	0.200977042103	0.0681339301475	0.0567432452496	0.129118146304	0.0688094001873	0.0159161277735	0.272200315285
a31	0.163493200458	0.177956512701	0.0505300407158	0.0450327804165	0.153593712101	0.100489611396	0.0252249985912	0.283679088428
a24	0.161627056819	0.1836258029	0.0530090635719	0.0420558424722	0.172752394034	0.103967445465	0.0266352151971	0.256327132809
a8	0.175230535606	0.1894920243	0.068606149524	0.0481539331574	0.157286044678	0.111455420155	0.0388313957324	0.210944457603
a38	0.149904055202	0.157977034767	0.063435025508	0.0452805693858	0.150531510226	0.144476226718	0.0757743119108	0.212621235868
</S>	0.162213242601	0.165423487383	0.054236926254	0.0380596171929	0.137665418113	0.152097988359	0.0975881959554	0.192715092934
