 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
a31	0.1599162002	0.17840153361	0.104083078845	0.0021949370054	0.021940848113	0.00392816285	0.000544139115	0.48948094	0.0395101905
a28	0.1604311813	0.18030626987	0.106962852948	0.00649736833513	0.180434722704	0.144504276083	0.001196957435	0.185934621667	0.0337317415
a37	0.05521914646	0.0627072249233	0.0389119243827	0.013150360445	0.442692964235	0.286746728694	0.00458853697833	0.0823369003557	0.0136462004487
a20	0.01886010838	0.0237177182744	0.0148645255276	0.0240554864817	0.588975121412	0.281647529565	0.0151734486594	0.0280796818719	0.00462637079823
a37	0.00984071789333	0.0156420997581	0.0103928928425	0.0316666561606	0.576036173804	0.316814789855	0.0274461825531	0.00994588664397	0.00221459046608
a24	0.0114989832978	0.015420982586	0.0127910712808	0.0324223713869	0.446826591268	0.404279269952	0.062184726851	0.00536747361466	0.00920854265536
a21	0.0200922634326	0.0187846275287	0.0163419724269	0.033828219129	0.340166563756	0.450833556651	0.0959628122837	0.00687444987155	0.0171155375518
a28	0.0338905464775	0.0250639618429	0.018850824809	0.036014364043	0.310897881252	0.43136736555	0.110138457428	0.0138734889572	0.0199030918506
a24	0.0397625108258	0.0245663636143	0.019194329603	0.035304084681	0.275488667084	0.365966528517	0.158520529143	0.0364792169857	0.0447177626169
a31	0.0381975689419	0.0195460065381	0.020583804201	0.040963846227	0.221946565695	0.247699518172	0.214645299714	0.104447540329	0.091969847539
a20	0.0364643639806	0.0154908045127	0.0233021004003	0.0431796830757	0.182889448565	0.175790744724	0.234464796571	0.15405629011	0.13436175918
a24	0.0347891709935	0.0129325868376	0.0240490508001	0.0349964920252	0.156242219522	0.185612224908	0.238592565524	0.14998782337	0.162797866393
a20	0.0403213299978	0.0137694996125	0.0218670296	0.0294473386751	0.143236016507	0.192980818303	0.232560325175	0.152301401123	0.173516265464
a33	0.0462404509993	0.0153818825375	0.0200626635333	0.031044530225	0.142804938836	0.214273302768	0.237940735058	0.123871885041	0.168379611821
a20	0.0675387469998	0.0221638068458	0.0200358745111	0.0311439884083	0.140071929612	0.216889787589	0.225768465019	0.116461123014	0.159926257274
a31	0.110347892333	0.0324088709486	0.0217400271704	0.0224497501361	0.112104885537	0.16595398253	0.18980795834	0.181061244338	0.164125369091
a3	0.131195360778	0.0393112736495	0.0285257677235	0.0233219720454	0.086305534179	0.138343960843	0.188547146113	0.185487151446	0.178961799697
a20	0.123823666926	0.0420207152165	0.0317962519078	0.0278744230151	0.0955648480597	0.151943400281	0.195969162038	0.148992040482	0.182015459899
</S>	0.117111158463	0.0412697416082	0.0301868169539	0.0272605130076	0.10495185403	0.160030080141	0.195192261019	0.146446550241	0.17755099995
