 	le	melanzane	vogliono	girate	</S>
a20	0.1204259425	0.71645942	0.0541400095	0.0059893378	0.102985307
a31	0.151726844167	0.685025253333	0.116323158167	0.00548301893333	0.0414417322333
a39	0.239841834722	0.571720891111	0.141285161056	0.0319469939778	0.0152050933778
a41	0.407257968241	0.39456622037	0.0841350620187	0.107455841326	0.00658486185927
a18	0.472939369414	0.269785183457	0.0465340483396	0.204446210442	0.00629518561976
a28	0.438419549805	0.243522081152	0.0582635971132	0.244721040147	0.0150737648733
a13	0.350231596602	0.295404987051	0.120225795704	0.192538846716	0.0415987862911
a14	0.263463812201	0.334537195684	0.205325635235	0.132315282239	0.0643580587637
a39	0.220916410734	0.324639678561	0.252639741745	0.111749307413	0.0900548562546
a31	0.174949316911	0.267570032854	0.335458310582	0.105528705804	0.116493643418
a6	0.171633152304	0.221416324285	0.327133206861	0.101654408601	0.178162922473
a20	0.205481377435	0.209388588095	0.219664052287	0.103625121534	0.261840857491
a31	0.174234417812	0.177102879365	0.235310627429	0.0894149565113	0.323937102497
a46	0.206035397937	0.189095749788	0.228323239143	0.0676424051704	0.308903207499
a18	0.284383559312	0.229162629929	0.163410629714	0.0646852823901	0.2583578725
a24	0.313964923104	0.239863956643	0.141426456571	0.0662620657967	0.238482530833
a31	0.260654097701	0.215574508881	0.20183781219	0.0617109899322	0.260222553611
a17	0.2369926359	0.208515939627	0.22260629073	0.0561412779774	0.27574385787
a11	0.3015704753	0.241917726542	0.16275180691	0.0558680093258	0.23789197929
a20	0.309479971767	0.241281318847	0.14399594897	0.0619869664419	0.243255803097
a24	0.314273597256	0.241539059616	0.138185079657	0.0655235804806	0.240478697699
a31	0.263920842419	0.230380179872	0.191496543219	0.0636269184935	0.250575522566
a37	0.241537347473	0.227646669957	0.210720644406	0.0597579818312	0.260337360855
a31	0.227764339158	0.206563786652	0.213768254802	0.0438447546104	0.308058856952
a20	0.220710519719	0.209493145551	0.223227678267	0.0353204642035	0.311248178984
a31	0.21642547824	0.21728705185	0.239298682756	0.0339480830678	0.293040676328
</S>	0.16179178662	0.184241010925	0.286066401378	0.0288759725339	0.339024788164
