 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
a8	0.141413925	0.052413743	0.07402958	0.1371842485	0.16857322	0.094770563	0.1494559047	0.100344154	0.0818146525
a28	0.151190148333	0.0484125986667	0.0439435616667	0.0664277018333	0.0811768813333	0.095637311	0.150867602333	0.133005658	0.229338519167
a31	0.133083381444	0.0257853003889	0.0218430401556	0.0450558906111	0.0950123884444	0.0603150703333	0.0879392548777	0.246531816	0.284433796389
a8	0.165068469148	0.0281011032963	0.0150180866519	0.0875839102037	0.112771127481	0.106264060111	0.0747565779592	0.268473832	0.14196279413
a31	0.179937270716	0.0384810564321	0.0694927042173	0.103123136735	0.0728690994937	0.24908376337	0.0714996523197	0.142549930667	0.0729633927433
a28	0.0797233239053	0.029028386144	0.0931849727391	0.0472637029117	0.0444101321646	0.41890662779	0.120875224107	0.133939893556	0.0326677622811
a10	0.0354469106351	0.020014355048	0.0520951255797	0.0204051088039	0.0225201913882	0.484531709263	0.180595674702	0.163038351185	0.0213525950937
a39	0.0177374342117	0.0190410783493	0.0338815105266	0.00915984066797	0.0211985457961	0.474134826421	0.227346858234	0.183608387062	0.0138915326979
a31	0.0414781887372	0.10034106045	0.0462169488422	0.0229390147893	0.037140483932	0.394430298807	0.209083052745	0.139841827354	0.00852913693263
a20	0.0544222885791	0.136683665483	0.0500904616141	0.0284580142631	0.0602332919773	0.343266782936	0.205385694248	0.114750457451	0.00670936134421
a31	0.0614550768597	0.124849360494	0.0784904958714	0.022441392421	0.0634715883258	0.324640224312	0.208425471416	0.110091133484	0.0061352892814
a18	0.0669438226199	0.121861955831	0.0877749966238	0.021103320007	0.0683988771086	0.289473478104	0.218670397139	0.114939375495	0.0108337922605
a41	0.0480966128733	0.0773598509437	0.0462203002079	0.0119658925357	0.0845890223695	0.288016142701	0.257781875713	0.159889781832	0.0260805327535
a7	0.0515869309578	0.0654881503146	0.032229580736	0.0145655911786	0.11803447079	0.2880355409	0.241516488571	0.159081010611	0.0294622585845
a38	0.0479466009859	0.0569480747715	0.0236202995787	0.0148269662929	0.12936757893	0.3024049803	0.23347782619	0.15833769687	0.0330699885282
a10	0.053449137662	0.0535643379238	0.0196790731929	0.0259835566643	0.149739804977	0.300593443433	0.217630592063	0.147474325623	0.0318857401761
a31	0.0675052242207	0.0575703896413	0.014551109731	0.0602794755548	0.215212891659	0.259551097811	0.193431427354	0.114548721874	0.0173496747254
a46	0.0725214497402	0.0539272652138	0.016902208577	0.0658829661849	0.201418723886	0.22066205927	0.199759089118	0.129658143958	0.0392680852418
a31	0.0951145499134	0.0527489637379	0.020166191859	0.0887613330616	0.177542821295	0.176825906423	0.199323276373	0.136666812986	0.0528501257473
a24	0.146398586638	0.0590672665793	0.021255274953	0.100341701021	0.150988710432	0.131244272141	0.189929572124	0.132758529329	0.0680160709158
a28	0.151847775546	0.0554098481931	0.024792261651	0.0675329993403	0.114887526811	0.136567654047	0.191373957375	0.157953729776	0.0996342303053
a24	0.130872851849	0.048779914731	0.0267721215503	0.0549758067801	0.10961406027	0.152490594682	0.195179339125	0.170784656592	0.110530633435
a15	0.12162296395	0.045355371577	0.0259350718501	0.0564854335934	0.11756601809	0.160651054894	0.192193159708	0.170743612197	0.109447302812
a24	0.106419247983	0.0418086831923	0.0246728296167	0.0585991168645	0.129244829363	0.171209654965	0.190362426569	0.170137587399	0.107545609271
a21	0.0997225259943	0.0409329757308	0.0242991638722	0.0586443679548	0.135021349788	0.177394154988	0.190559048856	0.169416899133	0.104009526424
