 	non	aveva	cosa	a	fare	</S>
a31	0.35716309	0.351757137	0.0713322229	0.0093024905	0.029406581	0.18103847
a18	0.1377601532	0.3527127202	0.0892467276333	0.0746361681667	0.238063603667	0.107580642667
a24	0.0471564534667	0.1375858146	0.142633039211	0.161859149389	0.452414264556	0.0583513025557
a20	0.0168738202222	0.0810204128667	0.251001366404	0.281275816463	0.343118601519	0.0267099707186
a31	0.0121968986074	0.0615011889556	0.277844168801	0.388661898821	0.243592877173	0.0162029261062
a18	0.0149598332025	0.0737624646519	0.2641622996	0.382347516274	0.247452512391	0.0173153160354
a31	0.0330824407342	0.104658736551	0.2389169032	0.300663752091	0.221238617464	0.101439487678
a17	0.0570054449114	0.18822358885	0.204779867733	0.186646237364	0.142424813488	0.220920019226
a20	0.140963721637	0.284252379617	0.187468415911	0.112910627788	0.076315094496	0.198089768409
a31	0.180352331879	0.349716983206	0.224705808637	0.0710534679293	0.046148432832	0.128022998136
</S>	0.14109168294	0.389263761603	0.267470179318	0.0546297439646	0.030753439916	0.116791219068
