 	voglio	che	Maria	venga	domani	</S>
a31	0.22255437535	0.0340694437	0.1168312591	0.284478468	0.083523835	0.258542615
a35	0.0830349330167	0.0375711512333	0.164902106367	0.426287222667	0.0997711783333	0.188433388333
a31	0.0348425117722	0.0205112407444	0.166416372122	0.503807674222	0.117695326111	0.156726831111
a37	0.0123144405241	0.0178701609148	0.237056790707	0.545746824741	0.0944160487037	0.0925956787037
a31	0.0063374655747	0.0456266439716	0.331738673569	0.48447235158	0.0714130862346	0.0604117049012
a11	0.0042722163349	0.0542685076572	0.302722517856	0.47615489386	0.119851578745	0.0427302253004
a31	0.00335817245497	0.0399129955524	0.241703262619	0.460638287953	0.179833502915	0.0745537467668
a20	0.00513587171832	0.0320534401841	0.209792184206	0.356354022651	0.227902377638	0.168762065589
a13	0.0354898437061	0.051353101728	0.210824171402	0.27247555755	0.228253422546	0.201603865196
a20	0.114002214569	0.106300467243	0.221999967134	0.21326147585	0.173927430849	0.170508418399
a31	0.151139501523	0.120998337081	0.198295589045	0.16808584195	0.168430973616	0.193049759466
a18	0.228030433841	0.132905787027	0.176901399682	0.13183113065	0.151197009539	0.179134234822
a31	0.272858714614	0.149712295676	0.184113159894	0.11532410355	0.13219641818	0.145795309941
a36	0.298941364871	0.165666271892	0.189527636631	0.105101321183	0.12058075606	0.12018266998
a31	0.30606824829	0.171320343964	0.18833434221	0.099965017061	0.11947862202	0.11483342666
a20	0.28088381943	0.188651127988	0.204236230737	0.0996540390203	0.118401930673	0.10817287722
a31	0.26135221981	0.189225862663	0.218219913579	0.10918287634	0.125161186891	0.0968579874067
a20	0.24204403327	0.190738637554	0.231545274526	0.114128597113	0.129361152297	0.0921823424689
a31	0.236231874423	0.190148462518	0.241311504842	0.113991200704	0.129006687432	0.089310300823
</S>	0.192375622212	0.153005331259	0.258565852421	0.128685850352	0.158371008716	0.108996365411
