 	non	ho	cosa	è	da	mangiare	</S>
a31	0.0106693924	0.0103818552	0.030187136629	0.010418486385	0.011565912	0.334739829	0.592037445
a8	0.00432978625667	0.00908243613333	0.0326439258763	0.0942413331283	0.238212584667	0.349297748333	0.2721922204
a31	0.00151162888189	0.00339208365444	0.0165605739588	0.367385294376	0.379804068222	0.139772808778	0.0915735213333
a37	0.00051460474063	0.00184709636148	0.0649456986529	0.629997701459	0.220294941407	0.0515604677593	0.0308394610444
a20	0.00018723564821	0.00239471645383	0.139781639551	0.69437805382	0.133834572469	0.0189554997531	0.0104682950148
a31	0.000418081410403	0.00767440255128	0.159680843184	0.615107491273	0.19562153749	0.0176571595844	0.00384050508827
a17	0.00436302377013	0.0146065498504	0.174225154395	0.513061237091	0.260018179163	0.0320297258615	0.00169615040276
a20	0.01987282359	0.0231606816168	0.186593734798	0.402065032364	0.250684989721	0.104600647954	0.0130221396243
a31	0.05070656853	0.0435161905389	0.175559044933	0.263618644121	0.21722921324	0.174344109318	0.0750262775414
a39	0.0763639511767	0.068762633513	0.186273334978	0.172532311374	0.164698985747	0.182912869773	0.14845594918
a35	0.175871877059	0.121796724504	0.181279398326	0.115569522458	0.118587929916	0.149807779924	0.137086786393
a39	0.319661052353	0.181026138168	0.147141947775	0.0845027528193	0.0845373953053	0.0963199366413	0.086810822131
a46	0.383062970784	0.209314829389	0.132730454258	0.0690283109398	0.0678330637684	0.0730550332138	0.0649754180437
a35	0.401581956928	0.222257929796	0.129506571419	0.0632788809799	0.0616051225895	0.0647588300713	0.0570107166812
a31	0.406199488976	0.223232173265	0.12859409714	0.0612945643266	0.0599695121965	0.0636209263571	0.0570892308937
</S>	0.404721769488	0.222108071633	0.12915907857	0.0608190971633	0.0598867910983	0.0644499106785	0.0588553284468
