 	la	casa	la	costruisce	il	mastro	</S>
a20	0.007551643305	0.0054269513452	0.0200969864048	0.39599315406	0.05523670328	0.510707957	0.0049865835
a17	0.009044337435	0.00597781151507	0.0230357384683	0.614912284687	0.10710397776	0.227640407	0.0122854335
a10	0.004659632345	0.00285813285836	0.0254193634894	0.731589344896	0.0953912165867	0.1273102011	0.0127721144
a24	0.00287893488167	0.00542159257279	0.14619879983	0.713634631632	0.0737022761956	0.0478953958	0.0102683223667
a46	0.00806089152722	0.0231035848576	0.25929153661	0.493546577211	0.173931702065	0.0259020086	0.0161636367889
a8	0.00931811160907	0.0277487502859	0.27135189887	0.457178525737	0.198128510688	0.0171546548667	0.0191195465963
a14	0.0267444676364	0.043426226762	0.23443527629	0.384984457246	0.261854993563	0.0296649036222	0.0188897045321
a31	0.0606125825455	0.0787563975873	0.167741708763	0.180839826082	0.435956164521	0.0592304178741	0.016862928844
a20	0.0789618608485	0.0897882045291	0.132276886254	0.0996563660273	0.438962008174	0.0869582812914	0.073396398948
a41	0.0876341382828	0.0895194781764	0.105994922085	0.0843140830091	0.349587666058	0.11317330243	0.169776382983
a29	0.0936637640943	0.0863936093921	0.0898456640283	0.0878283863364	0.303583605353	0.129359354143	0.209325584328
a31	0.0938574260314	0.099927156464	0.0776605933428	0.0650562171121	0.273344831784	0.195043171381	0.195110584776
a30	0.123046253344	0.118027950821	0.0695441197809	0.0468382240374	0.202829603928	0.220585503794	0.219128328259
a31	0.141460627781	0.158932515607	0.0560458315936	0.0385170110125	0.125783587976	0.217834674598	0.26142574942
a28	0.177593722594	0.184892745202	0.0479252838645	0.0306283116708	0.0876433976587	0.206185740199	0.26513080314
a31	0.204051114198	0.204912215067	0.0440919082882	0.0264769962236	0.0702178075529	0.1810823954	0.269167567713
a17	0.218454124733	0.214559098356	0.0421417280961	0.0237275950745	0.0634264391843	0.170408793133	0.267282225904
a20	0.275259434911	0.193119216119	0.0507910876987	0.0336596730248	0.0688599063948	0.129744331044	0.248566371968
a31	0.29089732497	0.214837138706	0.0541751928996	0.0275475532416	0.0662194767983	0.122000725681	0.224322633989
a20	0.311183441657	0.235191019569	0.0548221079665	0.0227632723139	0.0620917469328	0.111525041894	0.202423394663
a29	0.324408387219	0.21958690319	0.0575742876555	0.035022753438	0.0620611456443	0.097496955298	0.203849551554
a31	0.297113579073	0.209406051063	0.0584182192185	0.0308232224793	0.0699279252148	0.117408579766	0.216902393851
</S>	0.280586054536	0.214737915532	0.0569015296093	0.0196700212397	0.0749655226074	0.135806524883	0.217332411926
