 	mia	figlia	vuole	andare	</S>
i	0.973186	0.011016	0.000362876	0.00856475	0.00687067
k	0.178707	0.819386	0.00183424	5.80488e-05	1.47194e-05
i	0.747295	0.0243436	0.16004	0.0599369	0.0083846
a	0.43902	0.556505	0.00368768	0.00065598	0.000130988
t	0.040043	0.337235	0.595447	0.0231499	0.00412489
è	0.071706	0.110729	0.557622	0.191078	0.0688658
r	0.0295282	0.212741	0.415583	0.0712009	0.270947
a	0.0229822	0.876343	0.0943361	0.00550324	0.000835538
m	0.00662152	0.724487	0.242056	0.0165978	0.0102383
u	0.00363099	0.0164251	0.724996	0.19254	0.0624078
i	0.0021522	0.34362	0.297539	0.090901	0.265787
t	0.00154474	0.0134758	0.806325	0.159626	0.0190283
è	0.00178157	0.00216316	0.376029	0.394414	0.225612
l	0.000396366	0.0100975	0.30635	0.225088	0.458068
i	0.00226515	0.0310616	0.666547	0.288629	0.0114968
n	0.000604585	0.00976214	0.0630075	0.661434	0.265191
a	0.00350591	0.00278345	0.182575	0.593438	0.217697
p	0.000411872	0.00224354	0.0260036	0.471874	0.499467
à	0.000769334	0.000546826	0.029352	0.743067	0.226265
i	0.000645972	0.00190551	0.0348597	0.548483	0.414105
</S>	0.00292475	0.00474629	0.012377	0.727706	0.252245
