 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.984745	0.0134269	0.000370882	0.000798999	0.000118668	2.96356e-05	1.01983e-05	2.36521e-06	1.15171e-05	1.42415e-05	5.46927e-06	1.24841e-05	1.72082e-05	6.218e-06	6.56888e-05	0.000365011
k	0.338575	0.633567	0.00645984	0.0163938	0.00312343	0.000453619	0.000614101	7.88531e-05	0.000105866	1.12551e-05	0.000109531	0.000285591	2.28223e-05	6.81812e-05	0.000109938	2.15584e-05
è	0.0873333	0.177577	0.0434387	0.616499	0.0151909	0.0175894	0.0109287	0.000918052	0.00462721	0.00175661	0.00259877	0.00222654	0.00259872	0.00135015	0.00258038	0.0127863
c	0.00661513	0.642695	0.00517352	0.336093	0.000701525	0.00730557	0.000255398	4.16402e-06	7.10734e-05	5.86767e-05	0.000124327	0.000150645	3.45669e-05	0.000156285	1.56746e-05	0.000545693
c	0.242062	0.565277	0.101302	0.0709341	0.0180855	0.00133296	0.000216796	0.000116251	5.31219e-05	1.37826e-05	1.6512e-05	4.34882e-05	2.24026e-05	5.08873e-06	0.000207495	0.000311822
i	0.0175271	0.0178701	0.127341	0.697899	0.0126618	0.0818995	0.015199	0.000333221	0.00572025	0.00329998	0.000848413	0.000850129	0.00322889	0.000755653	0.00583104	0.0087351
a	0.253435	0.233049	0.432758	0.014457	0.0527413	0.000362984	0.00321369	0.00838789	0.000282743	6.57075e-05	0.000535307	0.000579357	3.77216e-05	4.93487e-05	4.21217e-05	1.86436e-06
a	0.0179075	0.0687596	0.736056	0.115054	0.0573867	0.00229597	0.000690677	0.000547082	7.09701e-05	3.4844e-05	0.000316555	0.000291108	3.17315e-05	5.44885e-05	4.48566e-05	0.000458363
r	0.000636718	0.00613318	0.574445	0.104948	0.305186	0.00553523	0.00149943	0.000639749	0.000136951	4.41504e-05	0.000260931	0.000248997	4.06871e-05	2.87012e-05	7.19871e-05	0.000144086
è	0.00275788	0.00829273	0.623325	0.0552046	0.033484	0.14196	0.0462074	0.00678065	0.0167371	0.00732998	0.0172643	0.0173052	0.00400809	0.00525897	0.00524243	0.00884227
t	2.32834e-05	0.00563727	0.0343565	0.88046	0.00858002	0.0657919	0.00059284	3.21967e-05	0.000476907	0.000332125	6.82442e-05	0.000166467	0.000390119	0.000127966	0.000345032	0.00261954
i	0.00238828	0.0252288	0.784702	0.0278467	0.135536	0.00768505	0.00912934	0.00540662	0.000241462	4.25048e-05	0.00032622	0.000443164	4.02638e-05	2.28443e-05	0.000685344	0.000275677
e	0.00203146	0.0102161	0.202847	0.0060823	0.619852	0.0345765	0.0626598	0.0419405	0.00494628	0.00143571	0.00570993	0.00414779	0.00140814	0.000690703	0.000962211	0.000493963
s	0.000713195	0.00404467	0.0674158	0.00831489	0.500716	0.33767	0.0483848	0.01011	0.00367539	0.00149046	0.00475872	0.00560788	0.000984286	0.000676875	0.00140979	0.0040273
ò	0.000813577	0.00096007	0.0595203	0.00103199	0.0219684	0.645119	0.120669	0.0179501	0.0310182	0.0141614	0.0256476	0.0256129	0.00776591	0.00965401	0.00866862	0.00943873
z	7.89903e-06	0.000535523	0.0049471	0.025212	0.0197045	0.904612	0.0200662	0.000361145	0.00306678	0.00206112	0.000357708	0.000600277	0.0016519	0.000355617	0.00196838	0.0144919
u	0.00192841	0.01132	0.154433	0.00622282	0.26217	0.127543	0.296074	0.10107	0.00490284	0.00156327	0.0110965	0.00861397	0.000673692	0.000424441	0.00765161	0.00431301
n	0.000207361	0.000480839	0.0137697	7.64708e-05	0.0370989	0.0153898	0.691073	0.20195	0.015408	0.00414028	0.011599	0.00459792	0.00150176	0.000678645	0.00103666	0.0009917
f	0.000654461	0.0013882	0.0105271	0.000668806	0.00725654	0.344027	0.410788	0.0618728	0.0178712	0.00821077	0.0552413	0.0449773	0.00293113	0.0120533	0.00491782	0.016614
à	0.000398633	0.000290338	0.0166675	0.00036055	0.00426773	0.07696	0.260802	0.0716382	0.130216	0.115546	0.0669119	0.033806	0.0565716	0.02178	0.0232316	0.120552
i	3.80017e-05	0.000171342	0.00198297	0.00831416	0.000843835	0.709618	0.119674	0.000916805	0.0248736	0.0038705	0.00212087	0.00472228	0.00668264	0.00175276	0.0496742	0.0647445
o	0.000296366	0.000413405	0.000948611	9.58385e-05	0.00195191	0.00206521	0.397909	0.575929	0.00751674	0.00169417	0.00819475	0.00138637	0.00024883	0.000130194	0.000317853	0.000901589
g	0.000172332	0.000516322	0.00087429	0.000602494	0.00154922	0.0214375	0.518671	0.268718	0.127302	0.0128844	0.0238665	0.0129736	0.00300503	0.00118598	0.00405477	0.00218626
