 	il	lenzuolo	vuole	lavato	</S>
o	0.947708	0.0300717	0.0152727	0.00375426	0.003193
p	0.0216436	0.972956	0.00538175	8.68104e-06	9.9297e-06
l	0.00472994	0.921294	0.0511865	0.00899614	0.0137938
a	0.33246	0.522593	0.0222013	0.0503995	0.0723461
ù	0.0483728	0.86815	0.044945	0.0126296	0.025903
n	0.0138316	0.691835	0.288337	0.00468496	0.00131077
a	0.0065614	0.525893	0.451478	0.0131169	0.00295035
t	0.044916	0.179342	0.705281	0.0359153	0.0345462
è	0.0020726	0.0740254	0.758836	0.0447089	0.120357
l	9.17328e-05	0.0365784	0.60826	0.14561	0.20946
i	0.000421828	0.0189243	0.966074	0.0118253	0.00275446
p	0.000642821	0.00773343	0.0800245	0.674905	0.236694
l	0.000810852	0.0134323	0.137342	0.333329	0.515087
i	0.00597733	0.00507496	0.0181386	0.0768422	0.893967
m	0.00010609	0.000958209	0.0117638	0.324007	0.663165
è	0.000167383	0.0033027	0.0106923	0.800137	0.185701
n	5.99025e-05	0.00494802	0.00863127	0.67788	0.308481
o	0.0013951	0.0272674	0.136705	0.78676	0.047872
</S>	0.000234818	0.000264453	0.000871828	0.320571	0.678057
