 	l	ho	sentito	che	veniva	</S>
o	0.8742	0.0118729	0.0020678	0.0011056	0.0292781	0.0814752
n	0.70504	0.228944	0.048894	0.0141725	0.00241413	0.000536227
ì	0.00533553	0.0172302	0.574062	0.124203	0.213143	0.0660265
k	0.00212711	0.88003	0.0858967	0.00755249	0.016185	0.00820862
u	0.104234	0.851892	0.0244373	0.00547875	0.0123466	0.00161206
s	0.123064	0.739774	0.0600675	0.0716502	0.00524686	0.000197394
a	0.00097939	0.0493418	0.617818	0.253876	0.037528	0.0404569
k	0.00879856	0.0753404	0.210671	0.639112	0.0268507	0.0392272
a	0.000194953	0.00921512	0.172887	0.608024	0.104982	0.104698
è	0.00263907	0.0263369	0.0388959	0.601884	0.116436	0.213808
r	0.000345459	0.0333675	0.00348832	0.0662624	0.891669	0.00486765
k	0.000160124	0.0187001	0.00127325	0.0693185	0.905729	0.00481915
a	2.49777e-06	0.000387245	0.00633118	0.0485746	0.728784	0.21592
t	0.00109698	0.0044656	0.00410403	0.187575	0.490415	0.312343
o	1.79671e-05	0.000211746	0.00018079	0.0135061	0.644424	0.341659
</S>	0.000212462	0.00120682	0.000638256	0.0392368	0.128536	0.83017
