 	entrò	da	qui	</S>
m	0.809165	0.0103125	0.0138505	0.166672
b	0.954711	0.0214498	0.0032175	0.0206216
ì	0.646289	0.133414	0.212647	0.00765054
k	0.997512	0.00152738	0.000693038	0.000267266
e	0.987064	0.0100222	0.0024108	0.00050249
a	0.00163696	0.957328	0.0351774	0.00585786
p	0.00493106	0.231673	0.741766	0.02163
ò	0.000679789	0.257755	0.450357	0.291209
t	0.0027594	0.0157612	0.93598	0.0454995
t	0.00645783	0.0163164	0.966997	0.0102288
u	0.00160786	0.0277038	0.0173185	0.95337
</S>	1.69987e-05	0.00486111	0.013337	0.981785
