 	che	vende	buon	pane	</S>
k	0.987034	0.00385144	0.00487623	0.00312251	0.00111617
a	0.506056	0.31123	0.17472	0.000252635	0.00774177
i	0.105197	0.890557	0.00417598	4.92314e-05	2.10866e-05
p	0.0154792	0.935351	0.0475764	0.00082947	0.000763482
u	0.0742574	0.738828	0.0954145	0.0314492	0.0600509
l	0.269207	0.565572	0.0159177	0.0468044	0.102499
ì	0.0346866	0.599663	0.235361	0.0455293	0.08476
t	0.00984243	0.754989	0.131265	0.00451098	0.0993926
s	0.0724835	0.253	0.643454	0.0204109	0.010651
o	0.00744741	0.0119368	0.0343865	0.536742	0.409487
m	0.062074	0.116222	0.138548	0.46624	0.216916
ì	0.00613501	0.0101112	0.742162	0.0657224	0.175869
k	0.000331271	0.019572	0.791237	0.0143691	0.174491
a	0.000458059	0.00172567	0.948637	0.040771	0.00840854
l	0.000440943	0.000188565	0.00240928	0.835756	0.161206
ò	0.00182199	0.00152258	0.0355582	0.286706	0.674391
</S>	0.000240323	0.00510223	0.166906	0.103896	0.723855
