 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
p	0.959427	0.0355655	6.67249e-05	2.41945e-05	0.00253554	1.51051e-05	0.000270612	8.57429e-06	2.8422e-05	0.000574584	0.00148361
ù	0.999498	0.000376911	3.64471e-05	5.22251e-06	5.35588e-05	3.9524e-06	2.75427e-06	9.80704e-07	5.9201e-07	8.10405e-06	1.30447e-05
r	0.906739	0.079084	8.20039e-05	3.04886e-05	0.013137	7.75011e-06	1.45391e-05	5.95521e-06	2.32079e-06	4.51237e-05	0.000851896
u	0.263085	0.726834	0.00121289	0.0013516	0.00420847	0.000491462	0.000564358	1.90966e-06	9.24284e-06	0.00173169	0.000509589
k	0.0800301	0.893231	0.00116188	0.0141	0.00484608	0.00491703	0.00161101	2.44116e-05	2.07628e-05	5.67718e-05	9.52997e-07
a	0.022469	0.757633	0.058503	0.0856294	0.0410992	0.00419752	0.00488967	0.0045135	0.00160041	0.00242881	0.0170363
s	0.00298252	0.750048	0.0488637	0.136827	0.0120451	0.020726	0.0211518	0.00138127	0.0012817	0.00424165	0.000451684
e	0.00315673	0.582292	0.118639	0.14335	0.0679058	0.0136319	0.0124097	0.0079683	0.00319241	0.00392719	0.0435267
t	0.000429715	0.16578	0.329197	0.337316	0.0267109	0.0734696	0.0367526	0.0043699	0.00675087	0.0155666	0.00365709
o	0.00183511	0.127172	0.435909	0.314801	0.0344096	0.0273507	0.00634024	0.0107615	0.00436398	0.00403824	0.0330184
r	0.000135528	0.0389089	0.262653	0.43667	0.0325546	0.10833	0.0376774	0.00726977	0.0162008	0.0454353	0.0141647
ò	0.0063509	0.100617	0.298035	0.219239	0.130333	0.133559	0.01569	0.013826	0.0137347	0.0174378	0.0511773
m	0.00146946	0.105219	0.00173355	0.00197184	0.803653	0.00500388	0.00614301	0.000235735	0.000405859	0.00883869	0.0653258
ì	0.01657	0.112829	0.00828313	0.00480543	0.827287	0.0105393	0.0055073	2.25901e-05	6.15716e-05	0.00990384	0.00419105
a	0.000322643	0.00902038	0.000938158	0.00241246	0.907866	0.0107409	0.0117884	0.000514153	0.000382018	0.00799684	0.0480181
f	0.000453216	0.000957329	0.00603953	0.00826832	0.354365	0.610467	0.0119024	0.00326824	0.00081635	0.000733796	0.00272882
o	0.00180515	0.00780049	0.00549568	0.0686356	0.201115	0.365025	0.0215256	0.179774	0.0584414	0.0110706	0.0793113
r	7.74579e-06	0.000191494	0.00124515	0.0116855	0.0510263	0.558223	0.23034	0.0997176	0.0133256	0.0266313	0.00760629
à	0.000788169	0.0104623	0.00344471	0.020344	0.0563136	0.0680948	0.025451	0.191644	0.133377	0.0433487	0.446732
e	0.000382357	0.00581404	1.55258e-05	0.000444798	0.634034	0.0155317	0.0707	0.00128794	0.000993287	0.114717	0.156079
n	0.00323863	0.0077595	0.00164833	0.00429091	0.0294389	0.228531	0.25114	0.286741	0.11575	0.0263239	0.0451378
s	0.000408522	0.00254155	0.00116223	0.00319827	0.00479044	0.0144572	0.0112079	0.382078	0.145428	0.0320726	0.402655
e	1.28007e-05	0.000255102	0.00460558	0.0126485	0.00170309	0.0166229	0.00529926	0.056432	0.14834	0.399624	0.354457
s	4.16923e-05	0.000336855	0.000241425	0.000367564	0.000392383	0.00104483	0.0123124	0.0954783	0.140428	0.151231	0.598125
c	0.000195278	0.00115296	0.0012545	0.00199076	0.00104669	0.00428912	0.0103085	0.214339	0.218265	0.0440919	0.503067
e	3.22182e-05	0.000448414	0.00426728	0.013366	0.00188544	0.0232369	0.0196089	0.0661427	0.0581518	0.315355	0.497505
r	0.000102208	0.00113813	0.000896728	0.000981359	0.000311008	0.00063761	0.00242727	0.0352936	0.119184	0.138835	0.700193
r	0.00160324	0.00460325	0.00217397	0.00402707	0.00216411	0.00335274	0.00321381	0.0353141	0.6109	0.0827158	0.249931
è	2.26518e-05	0.000383172	0.00308985	0.00635584	0.000388363	0.00910715	0.0082399	0.0498968	0.0559321	0.429256	0.437329
o	0.000485435	0.0125944	8.7568e-05	0.00057288	0.00737346	0.000464505	0.0134923	0.000673979	0.0313023	0.655279	0.277674
m	0.00320417	0.0151939	0.000921615	0.00194674	0.00320746	0.00214945	0.00208185	0.0011822	0.0433609	0.487673	0.439079
à	0.0019105	0.00921204	0.000977368	0.0016831	0.00361288	0.000630035	0.000732892	0.00989516	0.234495	0.139624	0.597227
i	0.000225893	0.0021443	9.93147e-07	8.46295e-06	0.00257078	6.95243e-06	0.000117354	6.94155e-06	0.000850615	0.716748	0.277319
</S>	0.00036131	0.000970011	0.000386446	0.000429662	0.000378468	0.000378407	0.000359155	0.000550463	0.013094	0.0940703	0.889022
