 	io	non	ho	niente	da	mangiare	</S>
e	0.985515	0.00518426	0.000481989	6.16815e-05	0.000356896	0.00272403	0.00567634
v	0.939213	0.0461453	0.0113008	0.00028585	0.00280703	0.000196211	5.16913e-05
ò	0.945021	0.00949683	0.0240385	0.00282557	0.0126544	0.00478697	0.00117627
e	0.884674	0.0678909	0.0419071	0.00312717	0.00107679	0.000139893	0.00118393
n	0.11602	0.408381	0.457057	0.00198488	0.00474998	0.00619613	0.00561047
è	0.0565561	0.0177593	0.64294	0.14255	0.0361704	0.0733749	0.0306499
c	0.0178104	0.00669282	0.707731	0.251257	0.00255795	0.00232551	0.0116253
h	0.0444946	0.0476121	0.530289	0.352902	0.0139235	0.00870357	0.00207492
o	0.00185197	0.0020839	0.205579	0.693098	0.00984318	0.0243634	0.0631809
t	0.00419349	0.0120949	0.0787001	0.70255	0.152123	0.0240125	0.026326
ì	5.2289e-05	7.15766e-05	0.0132317	0.923453	0.0393105	0.0100358	0.0138452
p	0.00180459	5.40238e-05	0.00315098	0.898951	0.0363017	0.0165438	0.0431943
o	0.00212823	0.00163443	0.0121676	0.72692	0.23194	0.0219457	0.00326392
t	4.3074e-05	0.00035894	0.00231933	0.00815418	0.773538	0.198817	0.0167692
i	0.000384019	0.000483721	0.00643768	0.0705618	0.55523	0.159149	0.207755
n	4.23728e-05	0.000365818	0.00133974	0.00214577	0.367066	0.490436	0.138604
a	0.000994533	0.00103515	0.0112021	0.0179256	0.272223	0.465233	0.231387
f	4.93847e-05	0.000648857	0.00168697	0.00128976	0.118528	0.46017	0.417627
à	0.00101531	0.000880084	0.00770195	0.00578758	0.0608298	0.755742	0.168044
o	0.00750389	0.000245051	0.00191122	0.00858592	0.0457	0.724688	0.211366
</S>	0.00112853	0.00135532	0.000817413	0.000381027	0.0137828	0.786419	0.196116
