 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
e	0.898057	0.0947983	0.00592986	9.72539e-05	9.879e-05	8.47805e-05	7.94806e-06	4.93671e-05	1.10859e-05	2.09731e-05	0.00084478
d	0.880056	0.075715	0.033621	0.00562607	0.00155281	0.00182518	2.55533e-06	0.00134874	0.000181987	3.62284e-06	6.73748e-05
e	0.567758	0.297563	0.0944953	0.022854	0.000678229	0.00621592	2.56128e-05	0.00195578	0.000954493	0.000125271	0.00737444
r	0.219007	0.754287	0.020226	0.00280378	0.0012557	0.000680585	9.30533e-06	0.00145626	0.000265886	1.87827e-06	6.4207e-06
f	0.0472425	0.600238	0.175147	0.0518771	0.0113588	0.0375128	0.00684431	0.023211	0.0158343	0.00146812	0.0292663
ì	0.146286	0.279442	0.318174	0.137777	0.036003	0.026598	0.00298746	0.0290489	0.0123554	0.00434578	0.00698146
m	0.0109921	0.575593	0.372832	0.030919	0.00253442	0.00448903	0.000147624	0.00189629	0.000122524	6.10086e-05	0.000413546
u	0.0820369	0.729342	0.185917	0.00210971	3.078e-05	5.61666e-05	1.90998e-06	5.4862e-05	2.05825e-05	1.04366e-05	0.000419841
e	0.0121687	0.074348	0.709765	0.122395	0.0423771	0.00582358	0.000815936	0.0282191	0.00348442	0.00015716	0.000446232
n	0.000412656	0.00399261	0.947102	0.037776	0.00135604	0.00147971	0.00017752	0.00413345	0.00229964	0.000110535	0.00115941
è	0.00203293	0.0137134	0.57885	0.286263	0.0100238	0.0423174	0.0125267	0.0147141	0.0123962	0.00882716	0.0183358
e	0.000210016	0.0158601	0.852425	0.115628	0.00123583	0.00522632	6.18422e-05	0.000373617	2.56352e-05	0.000624783	0.00832882
r	0.00134889	0.00199143	0.152784	0.827491	0.00430019	0.00360296	8.69054e-05	0.00597323	0.00152319	7.77937e-05	0.00081983
t	0.000705553	0.00270915	0.0906867	0.62234	0.0261312	0.0674413	0.0243835	0.0254326	0.0152731	0.0529434	0.0719534
o	0.000917391	0.0035602	0.03737	0.18415	0.044439	0.100229	0.377336	0.0497083	0.0365377	0.0184758	0.147276
m	0.000171582	0.000431943	0.0128766	0.573586	0.138343	0.139425	0.0129596	0.065275	0.0316473	0.00366806	0.0216161
è	0.00206528	0.00438268	0.0366381	0.606931	0.0340647	0.10007	0.0194206	0.0716576	0.0449939	0.0212582	0.058518
n	0.00114027	0.0219204	0.0488053	0.685243	0.0160727	0.102358	0.000901347	0.00531095	0.000631387	0.00621079	0.111406
a	0.00356778	0.0106157	0.0331028	0.281449	0.0315082	0.40347	0.0113507	0.184803	0.0278305	0.00298993	0.00931282
a	0.000124891	0.000150997	0.000896735	0.0260249	0.316341	0.306898	0.0332638	0.261671	0.0520528	0.000324204	0.00225153
n	0.000280987	0.000841166	0.00120317	0.00757121	0.0738837	0.243964	0.194182	0.336903	0.11851	0.0115603	0.0111003
k	0.00217569	0.00364151	0.0024866	0.0107467	0.0172816	0.145297	0.341142	0.0832907	0.0838786	0.244129	0.0659296
ò	0.00043059	0.000594406	0.000882954	0.00897595	0.017744	0.0827667	0.295541	0.0642899	0.066068	0.0252966	0.43741
r	0.00415662	0.0254021	0.0186337	0.027357	0.00794008	0.227497	0.00408701	0.0286291	0.00200427	0.0786773	0.575616
a	0.00177315	0.00572649	0.00516075	0.0179644	0.0621246	0.356942	0.0226966	0.419739	0.0645012	0.00893866	0.0344323
e	0.00018011	0.000178147	0.000238517	0.00072877	0.0402313	0.0189833	0.0384557	0.637485	0.235765	0.00325104	0.0245033
t	0.00023614	0.000680216	0.000505101	0.000668042	0.00122623	0.00274657	0.0636343	0.411854	0.382397	0.112102	0.02395
t	0.000544023	0.000721882	0.000501933	0.000781236	0.000572593	0.00190895	0.0466025	0.0314124	0.0813229	0.730449	0.105182
ù	0.000700845	0.000804166	0.000421399	0.00141695	0.00568264	0.0174713	0.722011	0.0242359	0.039658	0.0139267	0.173672
</S>	0.00209732	0.0112918	0.00690253	0.00608021	0.00431675	0.0270507	0.00941857	0.187238	0.0238499	0.0951808	0.626573
