 	la	casa	la	costruirono	i	muratori	</S>
o	0.990603	0.00289278	0.00179434	0.00201631	4.11773e-05	0.000211853	0.00244095
s	0.288054	0.694724	0.00683551	0.00998428	9.87453e-05	0.000267033	3.60561e-05
p	0.178001	0.741219	0.0383931	0.0324187	0.00116663	0.00138241	0.0074191
ì	0.393247	0.498411	0.0435284	0.0123971	0.0308739	0.0112294	0.0103127
t	0.0201983	0.873337	0.0119472	0.0937593	7.03653e-05	0.000159207	0.000529167
i	0.234031	0.410682	0.279656	0.0745352	0.000112746	0.0005725	0.000410236
o	0.0199455	0.0378796	0.920058	0.0209122	0.000743211	0.00040332	5.86408e-05
f	0.00304919	0.0156408	0.80755	0.161603	0.00457253	0.00123406	0.00635053
a	0.00273273	0.00241861	0.933594	0.0303227	0.012953	0.00466904	0.0133096
b	0.00132809	0.00727229	0.595512	0.297281	0.0506617	0.016096	0.0318496
b	0.00380652	0.0134171	0.442691	0.277324	0.0804946	0.040385	0.141882
r	0.00642127	0.0135881	0.151965	0.0545975	0.0946708	0.256678	0.42208
i	0.000673153	0.00174475	0.0229951	0.028113	0.0407607	0.211535	0.694179
k	0.0013144	0.00222509	0.104065	0.483668	0.194252	0.10569	0.108785
è	0.00682114	0.00829902	0.0915813	0.749159	0.0529379	0.0397511	0.0514511
t	9.71837e-05	0.00168913	0.0156633	0.919508	0.000596703	0.0322012	0.0302449
s	0.00292664	0.0071038	0.0941323	0.674427	0.0437026	0.146219	0.0314888
a	0.000238148	0.000280575	0.0195739	0.00500311	0.00398444	0.754012	0.216908
n	0.000835546	0.00114867	0.0131807	0.0867858	0.533758	0.154572	0.20972
e	0.00149116	0.00169917	0.00637425	0.0373886	0.62314	0.163278	0.166629
e	0.000138085	0.000192137	0.000456381	0.00352244	0.819595	0.0692034	0.106893
f	0.000647013	0.00164578	0.00128554	0.00565734	0.545775	0.354622	0.0903672
a	0.00180002	0.0013416	0.0031207	0.00242234	0.399985	0.440273	0.151058
b	0.000150903	0.000264594	0.000254764	0.00047184	0.489659	0.314301	0.194898
b	0.000676894	0.00103411	0.00146888	0.00176631	0.163169	0.556314	0.275571
r	0.000423985	0.000370051	0.00143359	0.00128294	0.0380279	0.220955	0.737506
i	9.12178e-05	0.00010117	0.000380218	0.00116634	0.0153141	0.0690771	0.91387
k	0.000507574	0.000496374	0.000858124	0.000702893	0.142519	0.504418	0.350498
a	0.00328767	0.00271296	0.0050789	0.00145	0.0731412	0.843001	0.0713283
t	0.000341062	0.000312047	0.000309941	0.000105416	0.207488	0.255111	0.536333
ù	0.00024038	0.000163361	0.000423953	0.000138193	0.0305685	0.718702	0.249764
r	0.000305421	0.00268934	0.000997377	0.00355045	0.00191228	0.784717	0.205828
i	0.00101907	0.00274356	0.00238491	0.00267574	0.02072	0.915937	0.0545198
</S>	0.000534939	0.000585917	0.000441843	0.000201373	0.045224	0.210414	0.742598
