 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.997072	0.00176137	0.000353769	0.000173577	1.73869e-05	5.92241e-06	1.08945e-05	0.00014218	0.000462685
g	0.596889	0.383704	0.00988052	0.00706863	0.000436006	0.000165432	4.82084e-06	0.00179382	5.7316e-05
e	0.0782809	0.779851	0.0211695	0.0788955	0.0218344	0.00349659	9.21876e-05	0.000915175	0.0154649
n	0.174967	0.814632	0.00753811	0.00165775	0.000563171	0.000548699	2.48283e-05	6.57309e-05	2.67868e-06
i	0.0329835	0.664556	0.0937266	0.0912254	0.0566971	0.0101802	0.00352562	0.00355549	0.0435498
t	0.182908	0.601192	0.125834	0.0218462	0.0206225	0.0232617	0.00616309	0.0155494	0.00262272
ò	0.145877	0.650406	0.0830329	0.0448305	0.0353363	0.0142157	0.0028422	0.00280256	0.0206575
r	0.0261651	0.616398	0.0695795	0.130087	0.0371845	0.00760118	0.00161261	0.0616373	0.0497356
u	0.142687	0.588339	0.155078	0.0824489	0.0028625	0.000565	0.000128633	0.0213539	0.00653658
e	0.122875	0.216875	0.38946	0.178365	0.0229502	0.0282719	0.00965499	0.030807	0.000742023
n	0.00537016	0.0243409	0.330187	0.585699	0.036391	0.00502399	0.000635008	0.0032229	0.00913006
è	0.0069461	0.0287336	0.0171209	0.120526	0.55971	0.176347	0.0242769	0.0117161	0.0546236
n	8.90557e-05	0.00364302	0.0132473	0.591889	0.0571781	0.00329532	0.00102328	0.0583056	0.271329
u	0.00328299	0.0204127	0.0534425	0.685085	0.146635	0.0190699	0.00389995	0.0391008	0.0290709
s	0.000910728	0.00165887	0.0127988	0.0772358	0.428823	0.351815	0.0154186	0.105037	0.00630235
a	0.000720393	0.00340286	0.00156999	0.0434784	0.608656	0.180076	0.0467707	0.0113198	0.104006
l	0.000272698	0.000452503	0.00156295	0.0119173	0.3686	0.441907	0.0375229	0.116759	0.0210061
l	0.000806802	0.00312541	0.000785154	0.00984029	0.527966	0.287427	0.0469617	0.0121965	0.110891
i	0.000284095	0.000443798	0.000374822	0.000536748	0.0176678	0.0634552	0.492801	0.289604	0.134832
m	0.000157819	0.00027873	0.000463682	0.00380482	0.229126	0.392943	0.0560771	0.164359	0.15279
o	0.00225776	0.00485523	0.00312337	0.0101199	0.322369	0.348539	0.0719118	0.0259581	0.210866
n	0.000604976	0.000617429	0.000758569	0.000454765	0.0318673	0.254094	0.383512	0.231328	0.0967636
ì	0.0006725	0.00167083	0.000860633	0.00301935	0.181835	0.184226	0.157448	0.037761	0.432506
s	0.000113397	0.000981163	0.000194731	0.001181	0.0131094	0.0155147	0.00601964	0.577252	0.385634
o	0.00491937	0.0190671	0.00257227	0.0140107	0.226359	0.254009	0.0705868	0.165468	0.243008
m	0.000126627	0.000149604	0.000139651	0.00016331	0.00374342	0.0196835	0.122597	0.832885	0.0205125
e	0.000787275	0.00366576	0.000661601	0.00215692	0.00741859	0.00782164	0.128855	0.0359847	0.812649
m	0.000123858	0.00013862	0.000130224	5.44291e-05	0.00154259	0.00761915	0.210404	0.680628	0.0993584
a	0.000441516	0.00165605	0.000322484	0.000765391	0.00443431	0.00365335	0.0689729	0.0493247	0.870429
i	0.000235128	0.000269131	0.000231484	7.5797e-05	0.00132792	0.00442281	0.118697	0.685711	0.18903
</S>	0.000124566	0.00036728	0.000134755	0.000192574	0.000959063	0.000556825	0.00631267	0.0527618	0.93859
