 	non	ha	che	li	aspettiamo	</S>
e	0.834069	0.0172153	0.0123599	0.0122921	0.106452	0.0176118
n	0.574929	0.253202	0.0807817	0.0877011	0.00320885	0.000177103
è	0.0159639	0.80083	0.135321	0.0366796	0.00746246	0.00374269
n	0.00657003	0.974564	0.00962001	0.00794903	0.000212373	0.00108491
a	0.0627542	0.228075	0.50306	0.204006	0.00121515	0.000890089
t	0.0037855	0.0173318	0.551358	0.427344	0.000155114	2.48826e-05
u	0.0014042	0.0345326	0.473465	0.269029	0.110824	0.110746
s	0.0012137	0.00437328	0.122169	0.836371	0.0237726	0.0121003
m	0.00242243	0.0183749	0.0681817	0.0681769	0.634943	0.207901
ì	0.00192798	0.0060767	0.0338756	0.0629312	0.516257	0.378931
n	0.0198251	0.0185812	0.0109241	0.436441	0.422581	0.0916476
o	0.00652693	0.0176229	0.0844397	0.857303	0.0111427	0.0229651
m	0.00289809	0.00188573	0.0225697	0.350206	0.411593	0.210847
e	0.00733724	0.0526607	0.0151853	0.0375227	0.308289	0.579005
</S>	0.000812339	0.00029384	0.00105314	0.0116007	0.373641	0.612599
