 	ora	ho	finito	di	scrivere	</S>
à	0.99979	5.86019e-05	5.2145e-06	5.80646e-05	2.61724e-05	6.22028e-05
r	0.98927	0.00855399	0.000896236	0.000293733	6.99121e-05	0.000916531
t	0.497743	0.168608	0.33153	0.000336818	0.00153245	0.000249477
e	0.0932128	0.0225006	0.822386	0.00312079	0.0491986	0.00958157
s	0.0779452	0.917961	0.00395008	0.000141798	1.56698e-06	3.3905e-07
p	0.00673167	0.0924087	0.881271	0.0109503	0.00323895	0.00539902
ì	0.0559796	0.339584	0.42045	0.0329123	0.00806982	0.143004
c	0.00309147	0.0457443	0.94956	0.0001202	0.0013991	8.52063e-05
c	0.00896885	0.102634	0.885391	0.000837812	0.00204338	0.000124513
e	0.00433015	0.00429032	0.806283	0.00341706	0.113817	0.0678624
t	0.0376776	0.681974	0.111214	0.160038	0.00554091	0.00355517
s	0.00157479	0.0176226	0.782106	0.040858	0.058259	0.0995796
a	0.0278762	0.14692	0.120117	0.156937	0.0164828	0.531667
t	0.00143281	0.0144583	0.0100427	0.835017	0.00792918	0.131121
s	0.000718311	0.0017413	0.177809	0.302557	0.177131	0.340044
e	0.00322099	0.046018	0.028283	0.20352	0.0218563	0.697101
g	0.000221806	0.00132681	0.000570059	0.692648	0.0125217	0.292711
r	0.00167612	0.00390409	0.00218065	0.903442	0.0251349	0.063662
à	0.000658112	0.00701303	0.00850829	0.0479109	0.0804703	0.855439
t	0.000984182	0.00450746	0.0128997	0.0207935	0.931624	0.0291912
s	0.00354664	0.00626657	0.00561666	0.0689374	0.910814	0.00481885
i	0.000164408	0.000198364	0.0127989	0.0219585	0.0535767	0.911303
</S>	0.000474556	0.00158619	7.38705e-05	0.0628827	0.0472632	0.887719
