 	viene	fabbricato	</S>
è	0.627142	0.07048	0.302378
r	0.171903	0.355789	0.472308
k	0.236761	0.646198	0.117041
e	0.0211032	0.869966	0.10893
t	0.0567664	0.942172	0.00106139
e	0.0197624	0.886119	0.0941181
f	0.0277433	0.834086	0.138171
a	0.00471349	0.54334	0.451947
b	0.00452774	0.165102	0.83037
b	0.00470583	0.428567	0.566727
r	0.0104362	0.154264	0.835299
i	0.0113082	0.187807	0.800885
k	0.00428557	0.385548	0.610166
à	0.00266505	0.873472	0.123863
t	0.000600804	0.862658	0.136741
o	0.00577203	0.927171	0.0670568
</S>	0.000334821	0.0645898	0.935075
