 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.993629	0.00536575	0.000679464	3.68467e-05	4.71066e-06	2.11574e-05	0.000262682
p	0.629838	0.344068	0.00414116	0.00469157	0.000948665	0.00108971	0.0152231
e	0.370124	0.62102	0.00184765	0.0064086	1.44336e-05	0.000108369	0.000477018
r	0.0324708	0.966935	0.000545789	3.73042e-05	1.08715e-05	1.06309e-07	1.24611e-07
i	0.00992438	0.797185	0.0651831	0.0678321	0.0285976	0.0166601	0.0146175
k	0.00845638	0.977576	0.0121122	0.000718678	0.000882513	5.2833e-05	0.000201851
o	0.0122198	0.627817	0.127392	0.116917	0.0553485	0.0235855	0.0367192
l	0.00492045	0.820619	0.121327	0.00634759	0.0155722	0.00181957	0.0293939
ò	0.0131318	0.533119	0.254325	0.0851356	0.057422	0.01433	0.042536
s	0.0357529	0.182537	0.0529315	0.606336	0.00389818	0.0280857	0.0904595
o	0.0170553	0.220895	0.538145	0.217648	0.00194816	0.00320036	0.0011081
n	0.00117407	0.0784006	0.90799	0.0104904	0.00152567	5.73258e-05	0.000362004
a	0.00112329	0.0057069	0.600328	0.307429	0.0451869	0.0229864	0.017239
n	0.000289972	0.0111967	0.947111	0.0193253	0.0091177	0.000608261	0.0123512
a	0.00056066	0.0013935	0.55773	0.332926	0.0540379	0.0309386	0.0224137
r	0.000345333	0.00641974	0.848719	0.0866121	0.0258441	0.00163852	0.0304216
è	0.000836316	0.00191492	0.365978	0.434715	0.0775848	0.0605855	0.0583853
t	0.00124174	0.000469445	0.0200596	0.940844	0.00146028	0.00616156	0.0297637
s	0.000434956	0.000478327	0.139585	0.828036	0.0165125	0.0141633	0.000789094
i	0.000213314	0.00160252	0.0180219	0.088963	0.0365734	0.338179	0.516447
à	0.000884943	0.00284123	0.121015	0.0476859	0.73977	0.00978114	0.0780215
t	0.00416055	0.000570896	0.00329774	0.9363	0.0476883	0.00747023	0.000512036
s	0.000776323	0.000303887	0.00497782	0.819487	0.112104	0.0611024	0.00124828
e	5.49851e-05	6.25717e-05	0.00515589	0.0342501	0.0215903	0.429306	0.50958
n	0.000660127	0.000931943	0.00977805	0.0114295	0.634686	0.0525016	0.290013
ì	0.00014549	0.000115293	0.00120106	0.0204813	0.581066	0.316098	0.0808934
t	0.00285543	0.000308708	0.000410491	0.269335	0.0613804	0.481402	0.184308
t	0.000545165	0.000246946	0.00169556	0.0383945	0.28444	0.667279	0.00739966
a	2.6705e-05	1.35298e-05	0.000361988	0.0177227	0.0177627	0.328958	0.635155
</S>	0.000667418	0.000876841	0.00231084	0.0014449	0.234794	0.0561907	0.703715
