 	nella	pasta	vuole	sale	</S>
s	0.850124	0.0808501	0.0073875	0.0310681	0.0305703
t	0.986519	0.00208186	0.00455413	0.00426045	0.00258465
i	0.985279	0.00187879	0.00221165	0.00929414	0.00133677
p	0.529933	0.431958	0.0348926	0.00316603	4.99658e-05
à	0.0312904	0.0140046	0.231317	0.562878	0.160509
s	0.00212505	0.585042	0.0769535	0.108284	0.227596
t	0.0210887	0.0564853	0.836541	0.08446	0.00142465
a	0.0131679	0.0053184	0.0618869	0.729864	0.189763
t	0.00894327	0.00595683	0.96572	0.0184294	0.00095058
è	0.00171135	0.00112754	0.594656	0.0872014	0.315304
l	3.75922e-05	0.0104333	0.600278	0.217144	0.172107
i	0.0001459	0.00106993	0.936849	0.0604832	0.0014515
à	0.000673478	0.00031512	0.102846	0.857489	0.0386761
l	0.000149211	0.000494903	0.0052968	0.992395	0.00166451
a	6.23743e-05	0.00020894	0.0284348	0.957638	0.0136564
</S>	9.23527e-05	0.000104036	0.00324829	0.0805537	0.916002
