 	sta	seduta	nel	giardino	</S>
s	0.901228	0.0767855	0.00125291	0.00680697	0.0139265
t	0.992426	0.00640435	0.000620671	0.000149887	0.00039933
è	0.993036	0.00529722	0.000985722	0.000620801	5.97452e-05
i	0.147411	0.848003	0.00134895	0.000272274	0.00296414
k	0.052386	0.947161	0.000151399	1.99521e-05	0.000281108
a	0.0537114	0.739644	0.0412583	0.0250178	0.140368
s	0.00781991	0.973826	0.0159993	0.000295154	0.00205942
i	0.0116458	0.658003	0.100479	0.0819837	0.147889
m	0.00723223	0.529779	0.295195	0.0144449	0.153349
m	0.0312018	0.676886	0.117534	0.0476501	0.126729
è	0.0034283	0.201334	0.148519	0.0464582	0.60026
n	0.0270036	0.520605	0.197513	0.147267	0.107611
i	0.0796671	0.457486	0.401383	0.0377706	0.0236927
s	0.000564382	0.0228202	0.891553	0.0479332	0.0371292
t	0.00275369	0.00490763	0.657691	0.147513	0.187135
o	0.00135203	0.00477681	0.253428	0.479085	0.261358
n	0.000354219	0.00290581	0.596188	0.140666	0.259886
g	0.00225787	0.00166214	0.360573	0.360135	0.275371
h	7.78261e-05	0.00155629	0.0428158	0.162743	0.792807
i	0.00032748	0.000564394	0.0516886	0.436036	0.511384
a	0.000240402	0.000385322	0.0217903	0.855201	0.122383
r	0.00579698	0.011047	0.0147894	0.729059	0.239307
d	0.00102502	0.000588242	0.0416933	0.81815	0.138544
ì	0.000141177	0.000516651	0.0575972	0.213007	0.728738
n	0.0100937	0.0372885	0.00444389	0.603684	0.34449
o	0.0399394	0.0263481	0.0321346	0.769344	0.132234
</S>	0.000258932	0.000766639	0.00609287	0.155098	0.837784
