 	forse	non	li	ha	a	casa	</S>
f	0.984598	0.00310555	0.000378172	0.00126658	0.000638674	0.000857501	0.00915542
ò	0.969471	0.00145014	0.00255324	0.0157905	0.00333827	0.00190727	0.00549008
r	0.967533	0.0202088	0.00314645	0.00713752	0.00109893	0.000195966	0.000679272
s	0.61837	0.257008	0.106835	0.0052908	0.00240057	0.00487105	0.00522369
i	0.556234	0.0800461	0.108274	0.0430382	0.0222629	0.131298	0.0588464
e	0.00563908	0.416614	0.575602	0.0013742	0.000720378	1.21667e-05	3.86839e-05
t	0.00308053	0.073641	0.887886	0.0301096	0.00275886	0.00042538	0.00209866
u	0.00260871	0.00234623	0.872431	0.0626932	0.0317931	0.00488924	0.0232383
s	2.22856e-05	0.0120394	0.929236	0.042173	0.00744692	0.00320664	0.00587609
è	0.00329494	0.00485991	0.243076	0.32465	0.245195	0.0298396	0.149084
c	0.0049278	0.00458581	0.0469255	0.596265	0.0706807	0.214597	0.0620182
h	0.00591768	0.0168075	0.275786	0.601876	0.0448467	0.0388147	0.0159519
i	0.00295521	0.00506611	0.109758	0.229935	0.19649	0.181926	0.27387
è	0.00164921	0.0038446	0.0858958	0.371376	0.326802	0.0753703	0.135062
s	0.00125957	0.00464564	0.00214437	0.109841	0.60407	0.265016	0.0130228
s	0.00416889	0.00307658	0.0150726	0.121608	0.726663	0.106733	0.0226783
u	0.000309009	3.06643e-05	0.00115546	0.0109596	0.0260222	0.199482	0.762041
</S>	6.24144e-05	0.000354379	0.00198985	0.00749718	0.0859362	0.0980029	0.806157
