 	tutto	il	cibo	vuole	girato	</S>
ò	0.991881	0.00276512	0.00178863	0.000383409	0.000580732	0.00260078
l	0.751843	0.0378387	0.109471	0.0464496	0.00795195	0.0464454
o	0.249287	0.692936	0.0556261	0.00124299	0.000147228	0.000761285
o	0.018969	0.613243	0.365009	0.00275072	2.25453e-05	5.62653e-06
m	0.00896559	0.109711	0.832405	0.0456322	0.000793531	0.00249255
a	0.00267664	0.0364013	0.828318	0.0647973	0.0144698	0.0533373
r	0.000214595	0.0296152	0.961089	0.00459499	0.000603875	0.00388219
ì	0.0041991	0.0621643	0.821868	0.0681881	0.00638305	0.0371975
o	0.00160022	0.0195436	0.92607	0.0261173	0.0129695	0.0136997
t	0.00167808	0.0249706	0.304265	0.662787	0.00284433	0.00345482
è	0.000582132	0.00359776	0.0318842	0.656676	0.145815	0.161444
l	0.000118603	0.000129945	0.0234026	0.872242	0.0384098	0.0656971
i	0.000593842	0.00196364	0.0117369	0.969568	0.0116603	0.00447754
v	0.000213369	0.00150014	0.00785265	0.245888	0.636014	0.108532
o	0.000594643	0.00072517	0.003943	0.33035	0.368781	0.295605
t	0.0001292	0.000403223	0.00133633	0.023309	0.67682	0.298002
i	0.000140146	0.000124995	0.000354742	0.0158845	0.777728	0.205768
m	0.000136483	0.000239471	0.000856509	0.0100611	0.454056	0.53465
m	0.000566304	0.000192134	0.000720562	0.0106236	0.888323	0.0995745
è	0.000860047	0.00142984	0.00293364	0.0099877	0.338701	0.646088
n	0.0072643	0.0103547	0.0289867	0.00201035	0.736918	0.214466
o	0.000959092	0.000651824	0.00920103	0.0385296	0.91794	0.0327186
</S>	0.00025703	0.000284532	0.000408082	0.000671077	0.227482	0.770897
