 	non	ci	dimentichiamo	mai	</S>
e	0.690736	0.238257	0.0056322	0.0209404	0.0444346
n	0.0737222	0.923009	0.000103902	0.0031287	3.62832e-05
è	0.0412091	0.916699	0.00503753	0.0133726	0.0236819
n	0.0882363	0.883381	0.0010444	0.000823621	0.0265151
a	0.170167	0.794682	0.00669696	0.0207068	0.00774679
a	0.101497	0.802818	0.0712205	0.0241783	0.000285867
l	0.0194354	0.0942872	0.832493	0.0414136	0.0123707
l	0.00371692	0.0548833	0.47886	0.163911	0.298629
i	0.00114908	0.0436397	0.20416	0.293265	0.457786
m	0.00103554	0.0251679	0.109189	0.303608	0.560999
o	0.00934077	0.0652295	0.624594	0.0746778	0.226157
n	0.00199965	0.0121081	0.471661	0.342429	0.171802
i	0.00413242	0.0337277	0.395294	0.0912458	0.4756
s	0.000542401	0.00259668	0.297071	0.311697	0.388093
t	0.000540653	0.00251616	0.638907	0.0593435	0.298692
ù	0.000702493	0.0119474	0.734725	0.0998031	0.152822
m	0.0016949	0.000286217	0.00715765	0.632681	0.35818
e	0.0066068	0.00113121	0.0250828	0.661173	0.306006
s	0.000816079	0.000601635	0.0326314	0.800077	0.165874
t	0.000342873	0.000761684	0.00480301	0.313058	0.681034
a	0.000674027	0.00210866	0.197882	0.68813	0.111205
m	0.000451902	0.000499719	0.00773673	0.667671	0.323641
à	0.000477046	0.000692365	0.00193922	0.110699	0.886192
i	0.000207515	3.44509e-05	9.77072e-05	0.490063	0.509598
</S>	0.00445065	0.00299957	0.0114137	0.0477619	0.933374
