 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.999954	2.49099e-05	5.2153e-07	2.19818e-07	3.68251e-06	2.48986e-06	1.39639e-05
c	0.998032	9.38503e-06	4.93747e-06	4.01135e-06	0.00130314	0.00013371	0.000513118
h	0.987862	0.000117606	2.70773e-05	1.16442e-05	0.00761965	0.00152105	0.0028413
a	0.887783	0.000309875	0.000370086	0.000261277	0.102785	0.00593977	0.00255049
n	0.446361	0.495595	0.0409863	0.00269302	0.00551822	0.00208715	0.00675891
a	0.611022	0.1156	0.0322303	0.0197494	0.115516	0.00830323	0.0975784
v	0.67531	0.0264056	0.0580567	0.0470916	0.192043	0.000821018	0.000272114
o	0.214422	0.370765	0.138522	0.0454915	0.145122	0.00677437	0.0789034
r	0.0127866	0.0537804	0.52959	0.253873	0.140713	0.00447901	0.00477754
à	0.0610716	0.231544	0.324947	0.100793	0.10428	0.0145974	0.162767
s	0.0029071	0.0027503	0.0122564	0.00616335	0.768242	0.0977501	0.109931
o	0.0134435	0.321646	0.355652	0.0788013	0.114778	0.0700484	0.0456314
o	1.43975e-05	0.0344678	0.148025	0.790923	0.0223224	0.00179021	0.00245725
t	0.000258291	0.0156112	0.0457238	0.364109	0.556427	0.00586297	0.0120081
s	0.000418593	0.00314945	0.026926	0.425866	0.410292	0.0595413	0.0738061
o	0.00014467	0.457812	0.224564	0.166956	0.00656782	0.00680246	0.137152
m	0.000617958	0.0154597	0.0114254	0.0415333	0.337526	0.124017	0.469421
ì	0.000298375	0.0104592	0.00800508	0.0538389	0.85024	0.0205571	0.0566012
k	3.2561e-05	3.70396e-05	3.12742e-05	0.000332436	0.690243	0.244441	0.0648829
u	0.00519914	0.00677743	0.00249159	0.00641335	0.229644	0.668648	0.0808268
à	5.3964e-05	0.0165517	0.007158	0.0324735	0.0534671	0.501935	0.388361
i	0.000181617	0.000196579	0.000101089	0.000225457	0.0170819	0.881394	0.100819
m	0.000112075	0.000411464	0.000212369	0.00035999	0.00412425	0.763658	0.231122
è	0.00128518	7.88089e-05	0.000112892	0.000224316	0.00937628	0.62237	0.366552
r	4.08491e-05	2.88703e-06	1.61835e-06	3.88992e-06	0.0021223	0.860224	0.137604
i	0.00050524	0.000290715	9.32566e-05	0.000135549	0.00139318	0.700018	0.297564
</S>	2.53593e-05	0.000338877	9.25892e-05	0.000120726	6.30304e-05	0.0207116	0.978648
