 	non	sono	andati	</S>
e	0.244205	0.0351254	0.561324	0.159345
n	0.457443	0.515451	0.0239756	0.00313025
è	0.00638149	0.80701	0.158221	0.0283875
c	0.00146698	0.996148	0.00141114	0.000974371
h	0.0148025	0.880252	0.101542	0.0034032
u	0.000382541	0.895114	0.0580756	0.0464282
n	0.00679225	0.052114	0.912597	0.0284965
e	0.000286168	0.0229101	0.811538	0.165266
p	0.0026322	0.0135071	0.786486	0.197375
a	0.00126367	0.0164352	0.736842	0.245459
m	0.00354674	0.00467748	0.494459	0.497316
è	0.00231649	0.00983173	0.910576	0.0772754
n	0.00031509	0.0033868	0.886886	0.109412
a	0.000958248	0.00604756	0.988381	0.0046137
</S>	0.000780924	0.000185637	0.104039	0.894994
