 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.979587	0.0141153	0.00477136	0.00107979	2.35924e-05	8.51534e-06	9.51421e-06	4.35215e-06	9.82632e-06	5.4924e-05	6.17181e-05	0.000274609
M	0.868736	0.010585	0.0551465	0.0525922	0.00274066	0.00283714	0.000772763	0.000508263	0.00453433	0.00134343	0.000156157	4.77092e-05
à	0.815851	0.116656	0.0135879	0.0433791	0.0027053	0.0017449	0.000599445	0.00109535	0.00181474	8.81867e-05	0.000166187	0.00231262
r	0.0490726	0.670061	0.229475	0.0509895	0.000201419	1.67567e-05	3.64578e-05	6.0714e-05	2.34784e-05	8.23946e-06	4.1555e-06	5.10453e-05
i	0.815707	0.0575497	0.105081	0.0208691	0.000134871	0.000219663	2.53856e-05	1.13383e-05	0.000232014	4.11757e-05	4.87993e-05	8.02642e-05
k	0.0262511	0.303819	0.633542	0.00446186	0.00594807	0.0123006	0.00184113	0.000119672	0.0113109	0.00038325	2.02232e-05	2.09654e-06
a	0.486896	0.203688	0.218553	0.0404039	0.0124202	0.0100277	0.00586629	0.0013571	0.0101815	0.000809405	0.000542164	0.00925535
j	0.0119231	0.120826	0.779272	0.00604636	0.0149278	0.0246756	0.0129765	0.00083184	0.0168062	0.0100804	0.00109741	0.000536664
u	0.176747	0.24602	0.468577	0.038862	0.017277	0.0148084	0.00725152	0.00185822	0.0135836	0.000664544	0.000912206	0.0134379
r	0.00153822	0.0144676	0.893349	0.00398302	0.0133018	0.0257758	0.0127827	0.000746092	0.0171462	0.0119722	0.0020708	0.00286631
è	0.060645	0.0491265	0.703813	0.0839719	0.0275233	0.0265689	0.0102172	0.00225659	0.0172648	0.000695694	0.00275531	0.0151624
i	0.0362973	0.245147	0.671683	0.0392164	0.00206492	0.000961835	0.000728485	0.000897583	0.000643657	0.000219845	0.000355486	0.00178479
m	0.00176951	0.000239735	0.762356	0.227152	0.00279404	0.00383898	0.000271853	7.1795e-05	0.00130871	3.93717e-05	5.09944e-05	0.000107111
i	0.0130897	0.0548789	0.641246	0.14383	0.0500302	0.0176494	0.0220048	0.0227562	0.0142193	0.0014543	0.00770313	0.0111381
a	0.00012864	8.36523e-05	0.750065	0.0667048	0.0514598	0.0627456	0.0311425	0.00102168	0.0165993	0.0147349	0.00229189	0.00302278
m	0.000628802	0.000252423	0.115845	0.765616	0.0676882	0.0255578	0.00883755	0.00134253	0.0116546	0.000514043	0.00042727	0.0016352
à	0.00393269	0.00503947	0.240239	0.40871	0.138579	0.0589391	0.0492635	0.0195045	0.0384027	0.00271245	0.0147564	0.019922
k	0.00133532	0.00288668	0.0880775	0.89778	0.00373137	0.000355353	0.000732891	0.0014485	0.000120856	0.00024144	0.000330647	0.00295948
