 	ha	che	sono	usciti	</S>
è	0.993477	0.00250955	0.000521904	0.002635	0.000856486
n	0.634884	0.204193	0.0607154	0.0327908	0.0674172
a	0.35025	0.532992	0.107253	0.00830489	0.00119993
g	0.188464	0.799233	0.0120885	0.000207189	6.76501e-06
u	0.0344724	0.659335	0.113561	0.142794	0.0498374
ì	0.0955275	0.791598	0.0868633	0.0175591	0.00845253
k	0.0174899	0.207056	0.696937	0.0728698	0.00564722
a	0.00258166	0.106186	0.866692	0.0235933	0.000946623
n	0.00725743	0.422174	0.0768163	0.296732	0.19702
e	0.00373972	0.0716591	0.0475389	0.679939	0.197124
</S>	0.000795564	0.0276335	0.00228289	0.212256	0.757031
