 	vuole	andare	a	Lecce	</S>
i	0.997323	0.000587989	6.97489e-05	4.15009e-05	0.00197768
t	0.912334	0.0854101	0.00216787	5.96091e-05	2.78227e-05
è	0.713088	0.162901	0.0339557	0.023642	0.0664133
l	0.779133	0.212065	0.00779749	0.000117504	0.000886941
i	0.470246	0.523905	0.00462421	0.00104168	0.000182882
n	0.0381	0.94229	0.0191576	0.000360487	9.23328e-05
a	0.0283602	0.572561	0.301766	0.0304691	0.0668433
p	0.0145699	0.710544	0.215068	0.00786814	0.0519496
à	0.0145391	0.324682	0.397529	0.0612206	0.202029
i	0.00688624	0.285597	0.353972	0.120499	0.233045
L	0.0148762	0.173427	0.750595	0.0434399	0.0176622
u	0.000674547	0.00786098	0.277382	0.441579	0.272504
p	0.00103761	0.0497202	0.326899	0.338078	0.284266
p	0.0038308	0.0327784	0.32372	0.5143	0.12537
ì	0.00135077	0.0855187	0.24099	0.244908	0.427233
u	5.58562e-05	0.000233787	0.00393699	0.646508	0.349265
n	0.0319392	0.0633514	0.0506262	0.498567	0.355516
a	0.0126597	0.0279949	0.0709342	0.811065	0.0773463
</S>	8.61795e-05	0.000477283	0.00226593	0.051053	0.946118
