 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a	0.981701	0.00832511	0.00983901	1.06711e-05	6.28798e-05	7.15211e-07	2.43802e-06	8.66514e-06	8.34329e-06	1.02738e-06	1.60035e-06	2.8185e-06	7.29501e-07	3.51058e-05
n	0.926909	0.0651306	0.00169453	0.00116239	0.0026572	7.55538e-05	0.000556545	0.00118459	0.000232128	0.000140652	6.74217e-05	8.45619e-05	9.60902e-05	8.22335e-06
ì	0.0101686	0.964933	0.0017363	0.00150233	0.0131889	0.000397181	0.00222109	0.000310738	0.00277657	0.000345199	0.000925399	0.000205798	0.000289058	0.000999573
c	0.0041169	0.995093	2.43658e-05	4.39266e-05	0.000447964	3.31367e-06	4.60298e-05	1.13094e-05	0.000102838	5.59167e-06	5.09598e-05	7.72737e-06	2.76947e-06	4.3194e-05
h	0.273283	0.698375	0.016654	0.00530562	0.00287628	4.55685e-05	0.000208664	0.00033439	0.000141223	3.75961e-05	2.91054e-05	1.77221e-05	0.00252226	0.000169522
e	0.00972782	0.982988	0.000657276	0.00419234	0.0016668	0.000108076	0.00026404	0.000188139	5.10347e-05	3.68905e-05	5.68975e-05	2.18745e-05	2.26519e-06	3.89606e-05
t	0.0573043	0.0173064	0.768309	0.131997	0.01135	0.00385369	0.00265555	0.00141083	0.00386477	0.000720164	0.000187642	0.000307055	3.05046e-05	0.000702817
o	0.00242072	0.0684244	0.41736	0.309522	0.0656661	0.0376841	0.0226743	0.00915452	0.00952018	0.0228202	0.00858982	0.00983621	0.000898985	0.0154287
r	0.00326863	0.0100269	0.239317	0.686506	0.0161195	0.0117235	0.00646326	0.0179962	0.00340683	0.00303108	0.000301386	0.00172064	6.45868e-05	5.47667e-05
ì	0.00328087	0.0740549	0.140671	0.287689	0.174093	0.0420429	0.0504219	0.0194869	0.0526933	0.0628169	0.0252451	0.0332568	0.00198654	0.0322604
s	0.00160913	0.251637	0.0398481	0.156539	0.392794	0.00318771	0.0270659	0.0429976	0.00696462	0.00152235	0.0221513	0.00128493	0.00749144	0.0449056
o	0.0115678	0.00489167	0.534635	0.224801	0.182015	0.00593403	0.0119127	0.0116122	0.00622872	0.00120254	0.000348607	0.000271507	0.00426869	0.000310506
n	0.000591417	6.00146e-05	0.0345705	0.788779	0.0847245	0.0366695	0.0138182	0.03451	0.00306693	0.00248602	0.000104967	0.000543079	2.96842e-05	4.57882e-05
t	0.000622289	0.0014584	0.0178889	0.486683	0.306101	0.0647045	0.0415316	0.01484	0.0203983	0.0221249	0.00700653	0.00904258	0.000242766	0.00735564
a	0.000634906	0.000569489	0.254454	0.130761	0.0469391	0.268183	0.0400045	0.0943538	0.0188311	0.0495406	0.00252184	0.0177148	0.00902291	0.0664681
t	0.000440183	0.000152341	0.0138892	0.736468	0.054572	0.0865112	0.0173946	0.0510985	0.0128123	0.0106568	0.000771688	0.00632129	0.000945957	0.00796627
a	0.000173723	0.000951622	0.00548229	0.440068	0.27613	0.11581	0.0509899	0.0235424	0.0088932	0.0297857	0.0134814	0.0115505	0.000386298	0.0227546
s	0.000368116	0.000220942	0.00360101	0.503786	0.174538	0.178496	0.024162	0.0723097	0.0156176	0.0108223	0.000777193	0.00529195	0.00267996	0.00732877
ì	0.000853142	0.00648749	0.00191367	0.241812	0.352066	0.134517	0.0848256	0.0439004	0.0419842	0.0271083	0.0150343	0.01504	0.00119183	0.0332667
n	0.000123558	0.00227748	0.00012961	0.0474006	0.839875	0.00449563	0.0283132	0.0219628	0.00146658	0.00116668	0.00527966	0.000251256	0.0180283	0.0292301
n	0.00124183	0.00177365	0.00129964	0.0659657	0.84161	0.0147372	0.0341434	0.0114017	0.0135106	0.00344102	0.00108205	0.000311208	0.00921458	0.000266917
e	2.55199e-05	0.00530525	0.00038623	0.0104955	0.279796	0.00796826	0.0563981	0.020706	0.00392864	0.014584	0.0483819	0.00129545	0.449896	0.100833
f	0.000159225	1.45202e-05	0.000680605	0.0538905	0.285794	0.381599	0.122741	0.086233	0.0393251	0.0223124	0.00243322	0.00313791	0.000106854	0.00157255
a	0.000103464	0.000300402	8.86733e-05	0.0177577	0.598312	0.230203	0.0766115	0.0219708	0.0163129	0.0149635	0.00787455	0.00412987	0.00044724	0.0109245
