 	io	non	ho	cosa	da	mangiare	</S>
e	0.985382	0.00568806	0.000629604	9.28152e-05	0.000290485	0.00233464	0.00558226
v	0.934329	0.0494097	0.0112177	0.000828065	0.00391285	0.000237183	6.58096e-05
ò	0.933748	0.00917711	0.0277032	0.0122244	0.0115074	0.00410182	0.00153761
e	0.891624	0.0572347	0.0471654	0.00170344	0.00112169	0.000113766	0.00103705
n	0.119718	0.431254	0.393679	0.0316009	0.00745369	0.00781537	0.00847927
è	0.0554914	0.0167272	0.654702	0.121232	0.0371202	0.0636448	0.0510828
c	0.0201491	0.00742412	0.862515	0.0813808	0.0065294	0.00319213	0.0188093
h	0.0495427	0.0549399	0.704599	0.14494	0.0292282	0.0124323	0.00431782
o	0.00220402	0.00183666	0.173619	0.648717	0.0339163	0.0329587	0.106749
t	0.00146391	0.00390468	0.0198949	0.754288	0.196101	0.0115009	0.0128466
i	0.000171283	0.00021287	0.0194465	0.673657	0.233864	0.0234475	0.0492006
è	4.79554e-05	0.000427967	0.00712449	0.0710383	0.839559	0.0630887	0.0187132
n	0.0652329	0.0121744	0.0122085	0.0453256	0.532157	0.324086	0.00881487
a	0.010336	0.00170331	0.01589	0.0526894	0.758792	0.15018	0.0104096
f	5.88156e-05	0.000340756	0.00107371	0.00245292	0.143813	0.695409	0.156853
à	0.00197402	0.00169054	0.0188587	0.00970949	0.110418	0.459233	0.398117
o	0.00783332	0.0002217	0.00129239	0.00115792	0.0230492	0.799606	0.16684
</S>	0.00223613	0.00272477	0.00149807	0.0020894	0.0119466	0.696615	0.28289
