 	Valeria	legge	il	giornale	</S>
e	0.999858	8.31197e-05	2.20759e-06	2.89115e-06	5.39515e-05
V	0.995579	0.00438463	1.83679e-05	9.64897e-06	7.85969e-06
a	0.843596	0.155586	0.000394804	0.000131104	0.000291685
l	0.0162501	0.98204	0.00107237	0.000204489	0.000433048
è	0.247319	0.658849	0.0167398	0.00735984	0.0697328
r	0.00533122	0.969319	0.000207211	0.0105472	0.0145955
i	0.210898	0.780578	0.00396346	0.00203985	0.00251994
a	0.0273507	0.959639	0.011544	0.00058577	0.000880564
m	0.000716768	0.992632	0.00540141	0.000307596	0.000941765
e	0.00198692	0.930934	0.03014	0.00728579	0.0296537
l	0.0102901	0.864069	0.068316	0.0112173	0.0461078
e	0.0026058	0.790825	0.0665024	0.0165582	0.123509
t	0.0104404	0.329699	0.451244	0.039995	0.168622
à	0.00132708	0.290508	0.223283	0.0713045	0.413578
o	0.000236091	0.394096	0.00333875	0.212141	0.390188
g	0.00236099	0.0868563	0.786226	0.0941487	0.0304082
i	0.000498222	0.025615	0.177549	0.268881	0.527457
o	0.00110719	0.00664242	0.399377	0.332548	0.260325
r	0.000622364	0.00497209	0.0772066	0.59737	0.319829
n	0.00073755	0.00563949	0.222693	0.179266	0.591664
à	0.00115423	0.00469288	0.147465	0.0906244	0.756064
l	0.000145924	0.00727705	0.00296833	0.825121	0.164488
e	0.000171312	0.00191254	0.00452103	0.966439	0.0269564
</S>	0.000596352	0.000635788	0.0865462	0.187791	0.72443
