 	avete	cucinato	le	verdure	</S>
i	0.813837	0.0603887	0.0028836	0.0604672	0.0624231
m	0.216542	0.773714	0.00616201	0.00329073	0.000291411
a	0.0575853	0.679091	0.030377	0.227519	0.00542757
r	0.627702	0.339413	0.0270847	0.00550263	0.000298339
è	0.0536806	0.51051	0.0341144	0.38473	0.0169651
t	0.00584948	0.98172	0.00155827	0.00555022	0.00532217
s	0.0179897	0.942417	0.0215105	0.0179013	0.000181832
a	0.00838952	0.0731194	0.090496	0.63418	0.193815
t	0.021157	0.125219	0.810214	0.0386565	0.00475292
o	0.00121944	0.0603478	0.798014	0.0930709	0.0473478
l	0.00180456	0.00979134	0.938966	0.0144215	0.0350165
a	0.00213857	0.0439919	0.397293	0.491149	0.0654275
l	0.00257043	0.00768584	0.737275	0.0809772	0.171491
à	0.00138021	0.0147302	0.105669	0.831028	0.0471927
c	0.00027488	0.0807575	0.00829678	0.0402884	0.870382
h	0.00377738	0.0834086	0.0584658	0.847434	0.0069138
a	0.00377113	0.025364	0.0859895	0.701324	0.183551
n	0.000672431	0.00102588	0.00607578	0.968853	0.0233731
a	0.00494443	0.0103101	0.00631682	0.849474	0.128955
</S>	0.000655719	0.000286992	0.00545182	0.0984702	0.895135
