 	è	che	sono	usciti	</S>
è	0.976339	0.0075875	0.00241452	0.0106117	0.00304759
n	0.575233	0.242674	0.0684353	0.032999	0.0806585
a	0.115592	0.694906	0.175835	0.01169	0.00197742
g	0.0813632	0.900649	0.0177655	0.0002151	7.68098e-06
u	0.0128226	0.646063	0.129465	0.15458	0.0570696
ì	0.0568708	0.765922	0.149207	0.0185826	0.00941741
k	0.0273697	0.225747	0.616762	0.120313	0.00980836
a	0.00276324	0.099178	0.855774	0.0407135	0.00157157
n	0.00771574	0.326264	0.0480215	0.364672	0.253326
e	0.00257115	0.0537747	0.0248805	0.711826	0.206948
</S>	0.000839533	0.0178217	0.00114632	0.188512	0.79168
