 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
e	0.987931	0.012025	2.30354e-05	1.64051e-05	5.6312e-07	3.44142e-07	6.18518e-07	8.24057e-08	3.36625e-07	2.43637e-06
M	0.997154	0.00215245	0.000428941	0.000147528	5.60678e-05	2.55336e-05	3.28145e-05	2.10854e-06	2.3561e-07	2.36413e-07
a	0.963192	0.0119273	0.0119656	0.00789364	0.0019617	0.000485929	0.000745614	0.000205222	3.57729e-05	0.0015867
r	0.141416	0.0445833	0.649184	0.0827765	0.0343691	0.0329202	0.0143429	0.000378647	1.6247e-05	1.26667e-05
ì	0.394532	0.061283	0.324088	0.140615	0.0304516	0.0225321	0.0158761	0.00143433	0.000718276	0.00847091
a	0.503336	0.258005	0.214164	0.0205216	0.00235183	0.000370257	0.000931091	0.000109832	4.76165e-05	0.000163135
à	0.0126375	0.854668	0.114835	0.0170246	0.000499842	0.000181871	0.00010164	5.4927e-06	2.0306e-05	2.62996e-05
r	0.00436563	0.636597	0.346894	0.0115997	0.000337196	0.000125833	6.98038e-05	3.86505e-07	4.87483e-06	5.36219e-06
t	0.021889	0.545847	0.337108	0.079907	0.0117177	0.00205405	0.00134226	2.32914e-05	9.47594e-05	1.64921e-05
e	0.0542961	0.350749	0.123352	0.0912678	0.0568967	0.00651621	0.0107948	0.028767	0.0421365	0.235224
n	0.000262436	0.0804862	0.473645	0.29934	0.0847723	0.0475609	0.0128256	0.0009926	9.94497e-05	1.4666e-05
a	0.000866938	0.230052	0.511239	0.200883	0.0350094	0.0118355	0.00526969	0.00135602	0.000573123	0.00291561
s	4.21074e-05	0.013364	0.295216	0.459323	0.131582	0.0817535	0.012717	0.00368013	0.000396303	0.00192553
t	0.00142069	0.0606153	0.139194	0.556753	0.158961	0.0405558	0.0191063	0.00891295	0.00344125	0.01104
e	0.000205907	0.0223624	0.0498269	0.0378662	0.219357	0.220199	0.0461237	0.0916396	0.0200806	0.292338
m	2.74927e-05	0.0059907	0.0961145	0.515995	0.225606	0.104983	0.0251735	0.0129372	0.00105915	0.0121139
b	0.00134062	0.00596273	0.0346939	0.861539	0.0622074	0.0164583	0.00930064	0.00127697	0.00146965	0.00575062
r	0.000256206	0.00627373	0.0329279	0.0155926	0.0908918	0.143738	0.0201336	0.0349029	0.0271203	0.628163
ò	0.000297464	0.0130331	0.0185991	0.0167068	0.0522649	0.055984	0.058235	0.0929968	0.0706681	0.621215
s	0.0107511	0.0272019	0.0392022	0.166268	0.399198	0.0646542	0.251257	0.0112177	0.026333	0.00391739
e	0.0337524	0.0292392	0.021752	0.276667	0.437097	0.0492881	0.137166	0.00602777	0.0079751	0.00103568
m	1.17004e-05	0.00019187	0.00274734	0.0211167	0.366453	0.335493	0.219214	0.0353493	0.00306182	0.0163614
è	0.0173467	0.00909035	0.0149125	0.0784264	0.252325	0.0813069	0.27718	0.186807	0.0265274	0.0560772
n	0.0103871	0.00763507	0.00864658	0.0571038	0.438802	0.0294344	0.302714	0.0578667	0.0142476	0.0731635
a	0.00482168	0.00180184	0.00199204	0.0189928	0.196247	0.118853	0.589086	0.0473494	0.0166006	0.00425601
m	6.25014e-06	3.43957e-05	0.000285319	0.00144562	0.0432249	0.367123	0.418024	0.159079	0.00450906	0.00626853
a	0.00816368	0.00303244	0.00409426	0.00695331	0.0366245	0.0444678	0.165048	0.605177	0.0394928	0.0869466
s	1.24575e-05	3.23902e-05	0.000257682	0.000407274	0.00924642	0.25422	0.145653	0.450576	0.0087341	0.13086
t	0.000517348	0.000514988	0.000384009	0.000837626	0.00537502	0.019053	0.0739895	0.629448	0.0571099	0.21277
e	6.6317e-05	0.000400518	0.00086129	0.00138353	0.0115966	0.0109144	0.0350032	0.234576	0.0450112	0.660187
p	1.08089e-05	5.05092e-05	0.000226451	0.00031527	0.00265592	0.052532	0.0629423	0.604699	0.0208341	0.255733
l	0.00071294	0.000924686	0.000610903	0.00098704	0.00381832	0.0190629	0.0387075	0.514486	0.155516	0.265173
ò	2.81716e-05	7.03807e-05	0.000290585	0.000336541	0.00354027	0.0154169	0.0107276	0.0282893	0.0306641	0.910636
n	0.014812	0.0019277	0.00266223	0.00178267	0.0047587	0.0162614	0.0702992	0.246215	0.426015	0.215267
n	0.020836	0.00586062	0.00419985	0.00341693	0.00889659	0.0263077	0.104553	0.30173	0.505328	0.0188707
i	0.000785453	0.000517483	0.000211042	0.000347995	0.00103649	0.000414976	0.0078291	0.0883353	0.138847	0.761675
</S>	1.54522e-05	9.13058e-05	0.000284829	0.000268568	0.00100668	0.0194023	0.0173476	0.0665367	0.215057	0.67999
