 	le	canzone	si	scrivono	alla	notte	</S>
a	0.995227	0.00337	0.00063682	1.67925e-05	1.06409e-05	3.3067e-05	0.000705232
t	0.91979	0.0680558	0.0118641	0.000156575	7.05068e-05	2.87748e-05	3.45549e-05
r	0.0452936	0.890415	0.0247507	0.0241394	0.0022631	0.00171544	0.0114228
a	0.563751	0.306581	0.0403658	0.023972	0.0268215	0.0327283	0.00578015
ù	0.486396	0.483769	0.0234518	0.00178388	0.00408096	9.47574e-05	0.000423113
d	0.00225806	0.971699	0.016536	0.00877051	0.000137386	0.000482429	0.000116493
i	0.0144953	0.86121	0.113739	0.0085949	0.000266859	0.00130913	0.000385165
a	0.152923	0.0231363	0.815928	0.00405596	0.00306029	0.000133586	0.000762936
g	0.00204734	0.0503828	0.898075	0.0421302	0.00399251	0.000543908	0.0028285
r	0.00353675	0.0667303	0.621608	0.236258	0.0457075	0.0054617	0.0206982
à	0.064332	0.0714504	0.0505833	0.084733	0.0528593	0.0838012	0.592241
f	0.00323577	0.0742913	0.358567	0.514543	0.00671453	0.0319738	0.0106741
u	0.00183702	0.0889839	0.652652	0.244249	0.00127711	0.00955832	0.00144185
t	0.0133925	0.00122923	0.188089	0.407258	0.327897	0.00558307	0.0565514
t	0.000280157	0.00357547	0.056015	0.638897	0.177218	0.0635738	0.060441
e	0.00266766	0.00232141	0.0905126	0.0781631	0.43447	0.0372541	0.354612
t	0.000990968	0.000323264	0.0359479	0.195497	0.544885	0.00502258	0.217333
s	0.000149105	0.00139463	0.00714073	0.378431	0.383367	0.0792859	0.150232
e	0.00315893	0.000853799	0.0209781	0.0599993	0.116363	0.0752991	0.723348
n	0.000250786	0.000443551	0.00273629	0.0224224	0.477026	0.0243242	0.472797
ì	0.00100729	0.00535861	0.00613735	0.06525	0.735276	0.118765	0.0682062
t	0.000332865	0.0109849	0.00192332	0.205128	0.0505744	0.244383	0.486674
t	0.00067204	0.00721806	0.00525717	0.0131819	0.176189	0.787147	0.0103349
a	8.84159e-05	0.00333343	0.001642	0.0303457	0.0212849	0.486553	0.456752
</S>	0.00117284	0.000120184	0.00173614	0.00187024	0.514784	0.0816494	0.398667
