 	forse	stanno	ancora	svegli	</S>
f	0.755518	0.180161	0.0296104	0.00183264	0.032878
ò	0.955037	0.0343092	0.00628674	0.000181188	0.00418581
r	0.659425	0.336417	0.00331632	8.87843e-05	0.000752924
s	0.197049	0.698396	0.096017	0.00805353	0.000484278
i	0.517105	0.432296	0.0047316	0.0205598	0.0253069
s	0.00237988	0.982419	0.0108843	0.00431511	1.62333e-06
t	0.00640616	0.772515	0.011795	0.187732	0.0215521
è	0.0124665	0.388718	0.0371697	0.385935	0.175711
o	0.0058561	0.976348	0.00237564	0.00339325	0.0120272
n	0.00168735	0.101688	0.887543	0.00895482	0.000126412
e	0.00222212	0.208765	0.0702619	0.330824	0.387926
a	1.6827e-05	0.0235712	0.834984	0.138203	0.00322525
n	0.00112816	0.0143153	0.380535	0.601729	0.00229286
k	0.00966186	0.0513943	0.0900813	0.701783	0.147079
ò	4.69583e-05	0.00396826	0.00567739	0.00564561	0.984662
r	0.0359969	0.100248	0.0276669	0.108578	0.727509
a	0.0105191	0.033137	0.783944	0.0991112	0.0732891
a	0.000109439	0.00484568	0.774913	0.156393	0.0637389
t	0.00112128	0.00490764	0.0150858	0.930374	0.0485114
s	0.00225193	0.00482119	0.000781381	0.640917	0.351228
ù	3.21263e-05	0.000319592	0.0300886	0.00314139	0.966418
n	0.0028698	0.00923679	0.010988	0.779122	0.197783
n	0.00888794	0.0212364	0.0126551	0.907647	0.0495741
i	0.00282641	0.00127559	0.00028384	0.00549099	0.990123
t	0.00012158	0.00106271	0.0140351	0.471638	0.513142
i	0.000122157	0.000148673	4.93544e-05	0.0395533	0.960127
</S>	1.23349e-05	0.000168452	0.00117225	0.0962958	0.902351
