 	un	forno	che	fa	buon	pane	</S>
è	0.997869	0.001738	7.11318e-05	0.000135141	3.15031e-05	6.01174e-05	9.495e-05
n	0.727587	0.148278	0.0115006	0.0261212	0.047017	0.00163578	0.0378596
a	0.678146	0.284216	0.0139512	0.019051	0.00379486	1.70513e-05	0.000824682
f	0.74925	0.185911	0.0522829	0.0121185	0.000429883	3.80924e-06	4.31092e-06
ù	0.0440812	0.768914	0.0709831	0.0292313	0.0707229	0.00125029	0.014817
r	0.0564084	0.866456	0.0310149	0.0300445	0.0151647	6.12263e-05	0.000850211
n	0.0354151	0.559181	0.322641	0.078765	0.00355473	7.87382e-05	0.000365
o	0.00613668	0.894396	0.0192746	0.0106758	0.00574968	0.000506257	0.063261
k	0.00677374	0.050737	0.685427	0.25597	0.000347863	0.000692023	5.18785e-05
a	0.00249608	0.140697	0.690357	0.0822942	0.0549426	0.00345786	0.0257553
i	0.00118827	0.0123613	0.605445	0.371793	0.00072201	0.00403052	0.0044601
k	0.000712329	0.00361736	0.0413698	0.894841	0.0535798	0.00167806	0.00420154
à	0.00226315	0.0322161	0.0912801	0.537689	0.226226	0.0344086	0.0759172
n	0.000544967	0.0126486	0.0109941	0.716821	0.15822	0.00150049	0.0992717
n	0.00223311	0.00692784	0.0264342	0.737754	0.215746	0.00393438	0.00697054
i	8.67324e-05	0.00860091	0.00597365	0.00947451	0.190227	0.0141283	0.771509
t	0.000825911	0.00449622	0.0118915	0.103362	0.040105	0.688478	0.150842
s	0.000250723	0.00123292	0.00199722	0.0256505	0.209156	0.0600402	0.701673
o	8.11014e-05	0.000777353	0.00311448	0.00334382	0.00041607	0.842977	0.14929
m	0.000321491	0.00133422	0.00102329	0.00941693	0.0878413	0.339194	0.560869
ì	0.00139276	0.00888958	0.00313669	0.00722669	0.490665	0.24305	0.245639
k	0.00108837	0.00463726	0.00118271	0.00727177	0.542218	0.0307914	0.41281
a	0.0140588	0.0107812	0.014683	0.0267167	0.67811	0.174049	0.0816009
l	5.99916e-05	0.000131077	0.000113648	0.000134503	0.000414674	0.875939	0.123207
ò	0.000971914	0.000673437	0.00145757	0.00116896	0.0095777	0.139862	0.846289
</S>	0.00028601	0.00161584	0.00029571	0.000666804	0.0645211	0.0344173	0.898197
