 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.252555	0.647777	0.0962609	0.000490616	0.00025888	0.000205336	0.00245269
ò	0.691768	0.273599	0.0345095	7.8681e-05	2.12043e-05	1.46173e-05	8.88956e-06
p	0.97344	0.0173427	0.00580737	0.00275156	0.000288403	8.1276e-05	0.000288352
u	0.324349	0.641676	0.0276208	0.00365398	0.000525071	0.00113079	0.0010438
o	0.0045032	0.994916	0.00031934	8.46915e-05	0.00017137	1.36035e-06	4.16235e-06
G	0.00401332	0.872142	0.10105	0.0159227	0.0032174	0.000572109	0.00308202
i	0.00545104	0.92281	0.0520292	0.00997305	0.00248412	0.000954557	0.00629829
o	0.000160413	0.909653	0.0421055	0.0179783	0.0173134	0.0038156	0.0089741
v	0.000646579	0.009403	0.693553	0.265659	0.0219917	0.00159482	0.00715212
à	0.00179842	0.293667	0.55199	0.0724277	0.0210906	0.00567595	0.0533496
n	0.0223013	0.0106524	0.336747	0.578575	0.0160521	0.015005	0.0206676
n	0.00166019	0.0295224	0.806663	0.153037	0.0054125	0.00255493	0.00115017
i	0.00048209	0.00235502	0.0685582	0.429939	0.0277332	0.31432	0.156613
j	8.13945e-05	0.19789	0.200846	0.240883	0.207291	0.030016	0.122993
ù	0.000687695	0.00366818	0.649665	0.272693	0.0226073	0.0124426	0.0382365
r	0.000193426	5.65281e-05	0.0183063	0.945623	0.0114287	0.0210983	0.0032942
i	0.000247439	0.00102983	0.272921	0.67456	0.0346147	0.00601802	0.0106096
s	2.16586e-05	0.00672596	0.0082037	0.0541095	0.791868	0.0622652	0.076806
e	0.000192081	0.000238406	0.0341727	0.556436	0.236116	0.0643673	0.108478
è	1.1653e-05	0.000931503	0.00158709	0.0169808	0.623749	0.225603	0.131138
s	0.00115955	0.000252244	0.00263856	0.0766411	0.72362	0.176836	0.0188524
s	0.00230285	0.000819924	0.0122113	0.118106	0.75746	0.0836032	0.0254959
u	0.000409938	0.000132328	0.00602352	0.0352293	0.015495	0.188344	0.754366
</S>	2.55573e-05	0.00027196	0.000526993	0.000869717	0.058096	0.0809267	0.859283
