 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.975548	0.0215413	0.00220033	6.22529e-05	3.43204e-06	1.34548e-05	2.61527e-05	0.000224312	4.37514e-06	5.79393e-05	2.98187e-06	0.000123659	1.76575e-05	2.17719e-06	1.48719e-05	5.47653e-06	2.91693e-05	1.07435e-05	4.50419e-06	2.36956e-06	3.68716e-05	6.79911e-05
m	0.249301	0.718116	0.0083268	0.00538297	0.000884845	0.00141996	0.000857605	0.00464627	0.00078237	0.00210971	0.000307519	0.00236723	0.00121657	0.000161473	0.00147801	0.000386906	0.00178084	5.83632e-05	0.000210659	0.000178743	9.43713e-06	1.64746e-05
e	0.00449801	0.828888	0.0250731	0.0546628	0.00461129	0.0148995	0.00122695	0.0242575	0.00168619	0.0182589	0.00429828	0.000346608	0.00797888	0.000588907	0.00154684	0.000287208	0.000594972	0.000748848	0.000671852	0.000350316	0.000319187	0.0042058
s	0.118256	0.795395	0.0590188	0.00491354	0.00412075	0.0026092	0.00245392	0.00227807	0.00213903	0.000612147	0.000953738	0.000748316	0.000629018	0.000286572	0.00143024	0.001156	0.00185485	0.000481877	9.52452e-05	0.000563246	2.43625e-06	1.38818e-06
s	0.020904	0.46207	0.244416	0.0748615	0.0346438	0.0302401	0.00922244	0.0276438	0.00568202	0.0137149	0.0105458	0.00141199	0.0125399	0.00115254	0.00391988	0.0035753	0.00302469	0.0188126	0.000990092	0.00189257	0.00086337	0.0178721
è	0.0577188	0.0395783	0.177067	0.137146	0.068402	0.0855573	0.0439982	0.0183012	0.0559966	0.00807902	0.015029	0.0209313	0.00584918	0.0294527	0.0201571	0.0227407	0.0271043	0.0950759	0.0145318	0.018759	0.0271914	0.0113334
r	0.0064754	0.308904	0.479731	0.135098	0.00151063	0.00429338	0.0018258	0.0396705	0.000849621	0.0109716	0.00024278	0.00201725	0.00474379	1.33551e-05	0.000908125	0.000197744	0.00207292	0.000389018	9.32437e-06	2.46149e-05	3.68888e-06	4.67155e-05
e	0.0515006	0.471779	0.40891	0.0405883	0.0038552	0.00395528	0.000785024	0.0106256	0.00101792	0.00267897	0.000106162	0.00115579	0.00110355	2.45694e-05	0.000379517	8.89775e-05	0.00102946	0.000175738	1.02478e-05	1.62734e-05	1.83294e-05	0.000195315
m	0.025428	0.0622475	0.264193	0.292238	0.111255	0.0650527	0.0365456	0.0172994	0.0508272	0.00427237	0.00324384	0.012126	0.00195178	0.00368126	0.00943805	0.0070369	0.0234403	0.00693372	0.000500393	0.00226157	1.84042e-05	9.12668e-06
u	0.00280463	0.0735366	0.163826	0.266357	0.126418	0.0887541	0.0126697	0.0547289	0.0103787	0.0224874	0.0225488	0.00410304	0.0256459	0.00240786	0.00643261	0.00551313	0.00524369	0.0315711	0.00292954	0.00350028	0.00348138	0.0646616
p	0.0019612	0.00985091	0.0993345	0.352582	0.172515	0.0697747	0.0486738	0.00904997	0.0443989	0.00265561	0.00563996	0.0229661	0.00183081	0.0177374	0.0140863	0.0219408	0.0288607	0.052951	0.00681797	0.0131812	0.00166004	0.00153199
