 	sto	e	cucino	</S>
e	0.943835	0.00522329	0.0478659	0.00307568
s	0.315684	0.641769	0.0403318	0.00221593
t	0.876881	0.0716446	0.031373	0.0201011
è	0.10964	0.468202	0.393135	0.0290231
c	0.0655603	0.805125	0.127077	0.00223808
e	0.16082	0.519756	0.317838	0.00158594
m	0.00374264	0.147676	0.845751	0.00283037
a	0.0059684	0.0815806	0.779698	0.132753
r	0.00038279	0.0246824	0.718121	0.256814
è	0.00117077	0.0140097	0.77472	0.210099
o	0.00060782	0.0141176	0.960501	0.0247741
</S>	0.00421902	0.00558311	0.926441	0.063757
