 	la	pasta	vuole	sale	</S>
i	0.949351	0.0251746	0.00314579	0.0128457	0.00948333
p	0.336491	0.376675	0.28392	0.00216793	0.000746349
à	0.117113	0.0708669	0.172415	0.487193	0.152412
s	0.00222938	0.979427	0.0098622	0.00572177	0.00275918
t	0.0469167	0.128623	0.763334	0.0596459	0.00148001
a	0.0185036	0.0127898	0.0411623	0.746749	0.180796
t	0.00997822	0.0164455	0.956185	0.0167941	0.000597092
è	0.00747143	0.00359283	0.616569	0.0924352	0.279932
l	6.2315e-05	0.04094	0.444899	0.261828	0.252271
i	0.000192498	0.00291909	0.914835	0.0804434	0.00160969
à	0.000404434	0.000348204	0.0746238	0.889753	0.0348709
l	4.15001e-05	0.000733194	0.00511691	0.992395	0.00171339
a	2.64022e-05	0.000238633	0.0202443	0.965527	0.013964
</S>	5.7714e-05	9.89084e-05	0.0024872	0.0619491	0.935407
