 	credo	che	stanno	ancora	svegli	</S>
p	0.682085	0.252266	0.0351324	0.00633186	0.00165846	0.0225258
i	0.99948	0.000336906	0.000121285	5.3417e-05	1.45652e-06	6.86909e-06
s	0.571359	0.368933	0.0184339	0.0406736	0.000594331	5.85685e-06
t	0.43924	0.378202	0.0948748	0.04187	0.0178873	0.0279253
è	0.177911	0.479047	0.0597718	0.0562647	0.1282	0.0988061
o	0.0447753	0.883291	0.0354121	0.000662877	0.000924221	0.0349345
k	0.00316426	0.70331	0.252486	0.0388417	0.00212055	7.75194e-05
a	0.0157639	0.662903	0.19891	0.0302727	0.0618179	0.0303325
s	0.000125338	0.16035	0.597921	0.0689097	0.170337	0.00235706
t	0.00112665	0.0870054	0.547056	0.0667026	0.268995	0.029114
è	0.00048983	0.056786	0.105932	0.0202573	0.61957	0.196965
o	0.00190793	0.0247378	0.85305	0.00675526	0.0574837	0.0560658
n	0.000543253	0.00767238	0.302217	0.685378	0.0040107	0.000178726
e	0.00178786	0.0037648	0.418101	0.0378569	0.334751	0.203738
a	4.35048e-05	0.00304537	0.12211	0.667273	0.182183	0.0253452
n	0.000705084	0.0047017	0.0210045	0.535575	0.435961	0.00205295
k	0.00810563	0.0170859	0.0918584	0.126297	0.537134	0.219519
ò	4.1559e-05	0.000366552	0.00641406	0.00201955	0.00201208	0.989146
r	0.0177553	0.0201198	0.146935	0.0311101	0.0781868	0.705893
a	0.00440159	0.00918892	0.119224	0.759643	0.0546288	0.052914
a	0.000114424	0.00230586	0.0107989	0.726817	0.204037	0.0559264
t	0.000892157	0.0043633	0.0063783	0.0327635	0.901804	0.0537992
s	0.00205638	0.00358745	0.00394498	0.00291509	0.615227	0.372269
ù	3.29932e-05	0.000332967	0.000966109	0.0255843	0.00377953	0.969304
n	0.00117012	0.00498998	0.007371	0.0288751	0.813468	0.144126
n	0.00610946	0.0212128	0.0270464	0.0458521	0.864696	0.0350832
i	0.00488942	0.000650318	0.00576911	0.00117511	0.00722998	0.980286
t	0.000186682	0.00122088	0.00140237	0.0605409	0.483172	0.453477
i	0.000103398	0.00016573	0.000253162	0.000198905	0.0497139	0.949565
</S>	2.18487e-05	0.000272326	0.00020877	0.0050246	0.1221	0.872373
