 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.974228	0.0161808	0.0089295	6.41756e-05	1.30261e-05	7.69283e-06	2.72277e-06	6.50283e-06	8.2092e-06	0.000254404	0.000305212
a	0.946136	0.048691	0.0050649	3.45271e-05	2.67991e-05	2.10612e-05	4.77019e-06	5.81957e-06	5.09271e-06	4.15896e-06	5.4646e-06
p	0.65957	0.306098	0.0322107	0.0011864	0.000757888	1.23032e-05	5.62305e-06	6.66978e-05	7.9868e-05	1.1248e-05	1.25914e-06
e	0.410709	0.458491	0.0300255	0.0176699	0.0179691	0.0177811	0.000844596	0.00361596	0.0137482	0.0102042	0.0189411
d	0.886106	0.0255767	0.0794835	0.00454745	0.00280417	0.000102051	0.00017188	0.000979546	0.000144567	7.65584e-05	7.82945e-06
ì	0.151269	0.0699008	0.202367	0.135779	0.100636	0.106879	0.0112198	0.0438421	0.0560327	0.0669404	0.0551347
a	0.222221	0.418828	0.256225	0.0421624	0.00265884	0.0227087	0.0041377	0.00135923	0.00465445	0.0188989	0.00614621
m	0.0222572	4.49501e-05	0.974025	0.00295066	0.000370691	2.03643e-05	1.04473e-05	2.80564e-05	0.000140459	8.56437e-05	6.60444e-05
i	0.046255	0.12086	0.451856	0.129984	0.0453845	0.0891251	0.0115985	0.0226923	0.047298	0.023268	0.0116792
n	0.0109623	0.000118069	0.895789	0.0560795	0.0131613	0.00200006	0.0119541	0.00657528	0.000319765	0.00166938	0.0013715
c	0.00957198	0.00193405	0.384114	0.304783	0.0926972	0.0760695	0.02273	0.027065	0.0273097	0.0195259	0.0342002
i	0.0255037	0.000885424	0.0452738	0.14857	0.0965482	0.130465	0.362478	0.0304948	0.00109063	0.0276021	0.131088
à	0.00653094	0.00224405	0.186179	0.170393	0.0794144	0.0638342	0.227684	0.0526576	0.00340023	0.0683076	0.139355
è	0.00272465	0.303371	0.041486	0.580581	0.0108389	0.0194977	0.00122293	0.00126417	0.0232829	0.0125724	0.00315847
r	0.000360007	0.069157	0.000397573	0.106756	0.0556788	0.727628	0.0237004	0.00116378	0.00813756	0.00235157	0.00466856
k	0.000576583	0.00659024	0.00272775	0.820211	0.0836881	0.0627419	0.00129034	0.00402002	0.0109229	0.00679332	0.000438164
