 	non	sapeva	dove	a	stare	</S>
e	0.839212	0.0719943	0.021608	0.00446808	0.0103768	0.0523404
n	0.811503	0.164634	0.00467432	0.0188427	0.000128607	0.000217458
ì	0.014626	0.733114	0.180776	0.0642856	0.00207152	0.00512706
s	0.000527583	0.99763	0.0015698	0.000133194	3.22227e-06	0.000136113
s	0.0525456	0.858375	0.0831213	0.00512921	0.000272706	0.000556017
e	0.000357739	0.772559	0.195827	0.00976093	0.0040819	0.0174138
r	0.00976196	0.00357231	0.931018	0.0534531	0.00211861	7.58573e-05
e	0.00218099	0.176885	0.555308	0.118808	0.0894774	0.057341
p	0.0026768	0.00131909	0.724337	0.24454	0.0182116	0.00891549
u	0.00100406	0.0107076	0.443713	0.274993	0.211413	0.0581689
n	0.00184147	0.000317204	0.0624631	0.818591	0.0834224	0.0333648
a	0.0016487	0.00638375	0.0698713	0.579294	0.289884	0.0529185
s	0.00201919	0.000335848	0.00659987	0.681657	0.2303	0.0790877
t	0.000719597	0.00179251	0.0187157	0.222294	0.693858	0.0626201
a	0.000144133	6.8569e-05	0.0013028	0.0102724	0.905455	0.0827567
s	0.00136753	0.000170357	0.00177084	0.176224	0.558614	0.261853
ì	0.0011221	0.00440717	0.0121021	0.0386747	0.789123	0.154571
</S>	2.20367e-05	0.000494635	0.00446234	0.0169135	0.0213645	0.956743
