 	da	da	un	famoso	poeta	</S>
p	0.96868	0.0109421	0.00280941	0.000262699	0.000549793	0.0167562
u	0.973184	0.0119029	0.00889218	0.000963509	0.00208371	0.00297327
s	0.19586	0.744832	0.0590139	8.30783e-05	0.000199657	1.09246e-05
s	0.0467096	0.646595	0.198016	0.0386769	0.0256649	0.0443375
è	0.351147	0.296955	0.0739069	0.119811	0.0276123	0.130568
n	0.0119958	0.781964	0.199214	0.00418166	0.00109835	0.00154651
a	0.0363974	0.440855	0.521392	0.000474171	0.000535449	0.00034608
f	0.0169213	0.131754	0.796676	0.0510683	0.0026059	0.000974328
a	0.00384316	0.057469	0.450614	0.310379	0.0715054	0.10619
m	0.00178138	0.0152644	0.0892345	0.858726	0.00611971	0.0288735
ò	0.00308329	0.0243949	0.0756147	0.597026	0.11941	0.180471
s	0.000442381	0.0241669	0.0623444	0.818964	0.0216324	0.0724499
o	0.00359011	0.0479983	0.333261	0.0396227	0.54629	0.029238
p	0.00213175	0.00679091	0.0316227	0.113125	0.796701	0.0496284
o	0.000742964	0.00346771	0.00290456	0.0714447	0.805177	0.116263
è	0.00119582	0.0022412	0.00257828	0.160589	0.574827	0.258569
t	0.000517317	0.00562491	0.0021176	0.000781997	0.983419	0.00753932
a	0.000691811	0.00212341	0.00147441	0.000505363	0.98907	0.00613472
</S>	0.00062383	0.00178633	0.00196504	0.015842	0.141622	0.838161
