 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.992322	0.00429729	0.000151386	4.58043e-05	0.00047862	0.000279985	0.00242502
n	0.8564	0.000928843	0.000606517	0.000318434	0.0930722	0.00977884	0.0388956
a	0.834077	0.0164719	0.000983708	0.000378083	0.134047	0.00834443	0.0056981
v	0.945381	0.0300167	0.0111397	0.00276427	0.00998076	0.000523631	0.000193851
o	0.0495639	0.673993	0.160642	0.0169347	0.0426471	0.00888622	0.0473322
r	0.0470674	0.123389	0.510052	0.152338	0.162803	0.00308876	0.00126141
à	0.00283202	0.0928003	0.295994	0.080892	0.258942	0.0324221	0.236117
s	0.00303076	0.00216086	0.0103768	0.0041589	0.930633	0.0342151	0.0154244
o	0.022971	0.317215	0.490638	0.068598	0.072344	0.0137788	0.0144552
t	0.000138166	0.0345341	0.117712	0.818202	0.0273776	0.00118226	0.000854236
o	0.000433918	0.00752207	0.111389	0.534909	0.132404	0.0800291	0.133313
t	8.35928e-05	0.037809	0.0822817	0.669426	0.187111	0.00494966	0.0183392
s	0.000476357	0.00415765	0.0220524	0.247982	0.283789	0.140108	0.301435
o	5.04313e-05	0.495747	0.218768	0.123405	0.00438113	0.00573677	0.151912
m	0.000383121	0.0187899	0.0092371	0.0162709	0.262536	0.132257	0.560526
ì	0.00045565	0.00995424	0.00463262	0.0213153	0.906326	0.0202488	0.0370675
k	0.000274653	0.000159434	5.59467e-05	0.00022667	0.631833	0.286504	0.0809463
a	0.0282677	0.0104079	0.00316747	0.00463442	0.135512	0.731228	0.0867826
i	0.000235572	0.0276739	0.00887888	0.0188554	0.0209245	0.451646	0.471786
m	0.00031047	0.000225963	0.000109192	9.29613e-05	0.00235835	0.682763	0.31414
è	0.00058006	0.000851132	0.000804992	0.00088466	0.00404933	0.624414	0.368416
r	0.000177529	2.33188e-06	1.06784e-06	1.55306e-06	0.0026739	0.920515	0.0766283
i	0.00138619	0.000671859	0.000206442	0.000183803	0.00182564	0.761899	0.233828
</S>	8.0719e-05	0.000751531	0.000195169	0.000194071	6.90078e-05	0.0236701	0.975039
