 	era	molto	stanco	</S>
ì	0.946485	0.00376911	0.0288416	0.0209047
o	0.889077	0.0409747	0.0189763	0.050972
n	0.924827	0.0650484	0.0034273	0.00669746
e	0.0393292	0.784798	0.0148057	0.161067
p	0.0490107	0.94967	0.000664246	0.000655378
o	0.0261601	0.871124	0.013613	0.0891033
d	0.0185367	0.901242	0.00392789	0.0762936
d	0.0276279	0.907842	0.010774	0.0537561
h	0.0105182	0.18452	0.0358794	0.769082
ì	0.0341847	0.786801	0.00474179	0.174272
s	0.000129717	0.0266933	0.97113	0.00204671
t	0.00100832	0.0213312	0.974276	0.00338463
r	0.00444212	0.15824	0.0226307	0.814687
à	0.0334484	0.0153163	0.171798	0.779437
k	7.78834e-05	0.00131471	0.961341	0.0372667
k	0.000388724	0.0125938	0.969466	0.0175512
o	0.00103552	0.0353764	0.0702266	0.893361
</S>	0.00153408	0.00811607	0.0666316	0.923718
