 	non	deve	magniare	la	sera	</S>
e	0.766468	0.180138	0.00985978	0.00245991	0.00802557	0.0330486
n	0.129823	0.862019	0.00383617	0.00287705	0.00135677	8.81078e-05
è	0.00780472	0.853333	0.0398493	0.0729223	0.0213254	0.00476556
n	0.00740833	0.978974	0.00806318	0.003743	0.00110369	0.000707728
a	0.0458327	0.884882	0.0635055	0.0026078	0.00270834	0.000464132
f	0.021678	0.188285	0.721016	0.0686684	0.000203077	0.0001496
à	0.00336916	0.0194275	0.445044	0.333253	0.0627366	0.136169
i	0.000428095	0.0240734	0.379633	0.226441	0.260013	0.109411
t	0.00556578	0.0123107	0.127476	0.836568	0.00528866	0.0127907
o	5.43306e-05	0.000250131	0.0653558	0.553063	0.0562378	0.325038
v	0.00113877	0.00233337	0.0083664	0.435631	0.426187	0.126344
r	0.000901422	0.00167613	0.00772978	0.212082	0.478646	0.298965
à	0.00072762	0.00153849	0.0356415	0.0100959	0.364262	0.587735
i	9.63166e-05	0.000203307	0.000387952	0.00487845	0.982337	0.0120965
</S>	0.00857836	0.00791141	0.00908441	0.0201261	0.174411	0.779888
