 	non	ho	dove	d	andare	</S>
e	0.713976	0.0616138	0.0131849	0.030985	0.0797285	0.100512
n	0.573834	0.339703	0.0258901	0.058326	0.00143622	0.000811443
è	0.011702	0.572756	0.121964	0.242007	0.0391642	0.0124067
c	0.00475909	0.837924	0.147705	0.00844175	0.000287746	0.000882346
h	0.0228254	0.334639	0.628552	0.00808046	0.00386043	0.00204292
o	0.000199347	0.0421602	0.941515	0.00412209	0.00516327	0.00684042
p	0.00995413	0.0209	0.727007	0.18984	0.0334606	0.0188384
u	0.00057331	0.0178088	0.271086	0.299349	0.193705	0.217478
è	0.00145346	0.00622039	0.0184719	0.776164	0.139715	0.0579753
n	0.00752843	0.0107407	0.00875683	0.740813	0.224042	0.00811916
a	0.00235983	0.022881	0.0337705	0.585687	0.345915	0.00938641
p	0.000379124	0.000615668	0.000358735	0.0300709	0.576529	0.392046
à	0.00147156	0.0188773	0.00647804	0.0322282	0.708035	0.23291
o	0.000475386	0.00253173	0.00289361	0.0510791	0.502338	0.440682
</S>	0.00496996	0.00420647	0.00484565	0.00229438	0.228944	0.75474
